number,learning_rate,subsample,value,std_err
0,0.02,0.4,0.8275504927580789,0.0025727748520866793
1,0.05,0.4,0.8311833239393318,0.002902667651926701
2,0.1,0.4,0.829320269266243,0.0026565737577443514
3,0.15,0.4,0.8219994171449068,0.0020566938770914616
4,0.2,0.4,0.812702899757464,0.002593884781461071
5,0.3,0.4,0.8023088107194097,0.002397071711710219
6,0.5,0.4,0.7783053648288584,0.0028140381255361215
7,0.7,0.4,0.7604000243390039,0.002804755120660273
8,0.02,0.55,0.8279041342146615,0.0026481606136743783
9,0.05,0.55,0.8326847949545672,0.0021632153703003104
10,0.1,0.55,0.8299605665436907,0.002499353158535316
11,0.15,0.55,0.8253494675309148,0.002706255435319228
12,0.2,0.55,0.8194616276388604,0.0025319906188167
13,0.3,0.55,0.807714962509394,0.0024942924191380194
14,0.5,0.55,0.7906725144326023,0.002142974149364375
15,0.7,0.55,0.7770935386349662,0.0032219636652825066
16,0.02,0.7,0.8281682337569174,0.0026243484085643376
17,0.05,0.7,0.832947656196625,0.0027155576648357376
18,0.1,0.7,0.831101318576211,0.002783957406089692
19,0.15,0.7,0.8283305471578876,0.00210032027510034
20,0.2,0.7,0.8226282067705131,0.003532318184416844
21,0.3,0.7,0.8132988424028148,0.002157021436183118
22,0.5,0.7,0.798541581266653,0.0026270203845923826
23,0.7,0.7,0.7895014240452278,0.003125202762506754
24,0.02,0.85,0.827929231143677,0.0025877191404000415
25,0.05,0.85,0.8327746677939468,0.002465180638523761
26,0.1,0.85,0.8322294741067159,0.001942646596171473
27,0.15,0.85,0.8288177542358407,0.0023475024412605745
28,0.2,0.85,0.8252200117852019,0.0020421215774185882
29,0.3,0.85,0.8170441454020633,0.002975156412842391
30,0.5,0.85,0.8070323281751725,0.002499613658962932
31,0.7,0.85,0.7952978218726515,0.0019025797236033736
32,0.02,1,0.8264763100362096,0.0025348169694587356
33,0.05,1,0.8315636102001777,0.0026242513895772426
34,0.1,1,0.8315926568798251,0.0021159134508523486
35,0.15,1,0.8297680215378834,0.002263201702263426
36,0.2,1,0.8260100259616041,0.0017922117077551697
37,0.3,1,0.8208801645658264,0.0026208028844231747
38,0.5,1,0.8086380832820933,0.0021325629092934237
39,0.7,1,0.8032701479982237,0.0036133856865928136
