model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_1b,logistic_reg,0.8774461573802247,0.0025951103235503335,0.7823612087139845,0.0028260312911125396,0.8324086615164005,0.003490657767585652,0.7691315136476427,0.0033546331444795274,0.8271743421392866,0.0025633499808472896
model_1b,binary_tree,0.8945293131007956,0.0026622218803278455,0.8419536191145467,0.004262340972513868,0.8475742388558622,0.0023358431882382533,0.8182133995037221,0.0017056372363029354,0.8673832183214333,0.0015224788882479197
model_1b,xgboost,0.8899719838473122,0.002143636763238314,0.9012649332396345,0.0019751889420316455,0.8921675870353839,9.538527017412358e-4,0.8515632754342431,0.00207655394853835,0.8955705282678756,0.001433804406259446
model_1b,rf,0.8855326708799741,0.001695814971824966,0.8945888966971188,0.001480766514807137,0.8838631685533038,0.0013909410106751755,0.8438709677419355,6.485879604051445e-4,0.8900241828970674,3.514949616676633e-4
