i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.16295023050681456,0.11270194411169158,0.0391530861851009,0.05626948251474119,0.10180831580652683,0.050351905669152555,0.1124702403478008,0.03403152129298982,0.004003338601492412,0.007554805997203391,0.008433347332284026,0.006000418236695935,0.01024489401443356,0.009806728284962908,0.016138090529129213,0.01290711510927036,0.020305009576737417,0.008623606598425518,0.00921152025706665,0.006500836171276049,0.007482216183078801,0.0028978645522653593,0.003974634587423637,0.009868657583177369,0.0035932786766918008,0.020973060926480453,0.007245888484219094,0.010820833734803007,0.005662867542682885,0.008335334479033571,0.009326221603965193,0.003177600860174414,0.0022659184089531418,0.006464362604359769,0.0025879754508616416,0.006931230914031989,0.007132556193729733,3.9360084990563044e-4,0.007526784217151678,7.315804852936352e-4,0.005371649686501009,0.005912324303236184,0.001410126524204318,0.008535104299585232,9.908755823006062e-4,0.005748534799281618,0.007915519955624173,0.0012426539889420155,0.0076853532973792296,0,0.005298476575196637,0.007945905895926683,0.0010910493451252734,0.006698940985227014,0.008326544299508168,0.0017799835368701286,0.007188051443013229
0.1680906593746016,0.12356758804946337,0.03822969887129534,0.05358423360016642,0.10273079317674146,0.04897373680943557,0.11306951571073091,0.03276234938120929,0.0024894650937223772,0.0065608472107245306,0.008093237696914425,0.006171587730279283,0.009996706432264395,0.010478204715913346,0.017528828291826695,0.012449036559819814,0.02146013969329387,0.008026826235566982,0.009378228866988405,0.004139387133177888,0.007409835761007289,0.002348484039053798,0.003160100705032381,0.00792637237757771,0.002796085710918276,0.022100898067927456,0.007208181376723312,0.009918818991357155,0.004961151532455059,0.007997204228855045,0.010688815145202351,0.002732587391579219,0.0027988452607010973,0.005943158331590173,0.0023755900858711504,0.005536499492298219,0.0067345489455725984,7.145255124546024e-4,0.007777477632536574,8.335237863030877e-4,0.004574199342244892,0.006767695908056501,8.75879752522112e-4,0.0079249085670139,6.655949614636508e-4,0.004463245283770266,0.007452638308688081,4.0337488278150004e-4,0.008191300512900516,0,0.004791294997427828,0.007677714229801605,5.262043386760765e-4,0.007629949034980514,0.009406691976353276,0.0012251193022936539,0.007680413591873114
0.16394699757453118,0.12160129777242448,0.04111490403989135,0.054953383210718104,0.1010778697157216,0.04656540147011719,0.11156858715166974,0.034631111853130926,0.003127786030272104,0.00706923026817564,0.006745915903042968,0.006417801443565481,0.009555869111623353,0.01062479033496795,0.01724077280708786,0.013040046743795374,0.022235175701207973,0.008282397920662583,0.009651459675959343,0.00451188302284693,0.00816639754229282,0.003226280098312391,0.002853967289736086,0.007371474763515454,0.003226294075292596,0.020495216235269578,0.005839093991230388,0.010266528955409946,0.005660163543086166,0.007392165828620296,0.010316178612033353,0.00346468345296395,0.0024932790500232405,0.006220914854524767,0.0021352552791287288,0.007033740718722744,0.008219686918659503,3.219737160109313e-4,0.00792602029574287,0.0014276759332549499,0.00399203948002451,0.006212900625221703,0.0011972137853159938,0.00806289315471565,0.0011020268419389939,0.005825414806276739,0.008288764577768375,0.0011983797221851663,0.007875889716902602,1.6406491351230032e-4,0.004821180188300577,0.006552524129542585,0.001042497314399601,0.007427600040641358,0.008908115947562713,0.0019228201553430208,0.007386001695105233
0.16083582009949682,0.11964239753569776,0.03875447162396802,0.05349264575311795,0.10468951494152572,0.05137766440936323,0.10819613976082963,0.033841426019702345,0.003384472788609624,0.007239276562264909,0.006615409655625805,0.005101460339315207,0.011075890059033354,0.009284784236154434,0.017516527615131196,0.012487075781759144,0.02042962910857892,0.008443188069403963,0.011720796913127355,0.005079541971889762,0.008944787804229115,0.0027491252446156223,0.0034658212882343747,0.009245192428296568,0.002922154067191521,0.019052975333079068,0.005858702794360345,0.009338455003776796,0.005522715235704036,0.008131234127313744,0.010679270167915814,0.0036343192067506197,0.0031182910487626988,0.006505044439549474,0.0027416664663702964,0.00743580946768615,0.005985103503512712,3.2470755253811355e-4,0.007514540599001808,0.0010981227898514637,0.005047133931031515,0.007178880860676164,0.001241330062435091,0.009086937740816656,7.12703763368241e-4,0.006018204122534334,0.008336559312519044,9.913469322503875e-4,0.0070548326086853986,2.2552877238436243e-4,0.004960505677207961,0.00716927191580779,5.164105188489517e-4,0.007346078463690671,0.009901449484191364,0.0021909892000171374,0.00854566482019944
0.16423992435414317,0.12240032510418934,0.03879521560693346,0.05192934606151058,0.1027477038478829,0.04745165184908353,0.11411762357667228,0.033446900328919754,0.00252130059242852,0.0077781772291290584,0.00813606799366302,0.006072267448878569,0.011087886010294791,0.00919931909733655,0.01835489337924484,0.01236433919237458,0.0232687262531745,0.008549130837274791,0.008350423862963825,0.006162092037679846,0.006946983531085498,0.0027817248283708114,0.003853681549550166,0.009130808556740871,0.002877536810553651,0.022613286333915045,0.0068037914081349,0.00857086579387395,0.00581392208975813,0.007973519217637852,0.010663509970348796,0.0026211263182694612,0.003164422097137425,0.0060026441816218665,0.0033671285566920766,0.0059959073659786,0.006493925264700298,2.809277289343766e-4,0.0077488699138018565,9.003852205117472e-4,0.004816967480089765,0.006832503292076091,0.0012703113700701025,0.007034607761374099,0.0014125448998195133,0.0041255216424104756,0.007497600720587784,4.7385512625389376e-4,0.006587304761383771,8.71249451732987e-5,0.004903290202310475,0.007403184352007981,4.714027146203795e-4,0.007379080217269462,0.008468111674880253,0.001576474460696727,0.008081832977580632
0.161830072879822,0.11926266342064962,0.03783476512670553,0.05219044712866158,0.1085101854094667,0.04926714293112068,0.10869143953602604,0.03364995980816608,0.0035586865000192605,0.00856230795741843,0.008679113595823079,0.004987377415973887,0.009877379378010004,0.009820795151680719,0.017654502580769872,0.011954072743035742,0.02278137463850332,0.007015169268272379,0.009042531286770992,0.004948793611156097,0.0073709868189534905,0.0024259231471529196,0.00290594711280225,0.010037231174760132,0.0037988417136463194,0.021603256750114916,0.005896643877241623,0.010919874522262491,0.00608849284139719,0.008473147984766236,0.009447186440680157,0.0036035775502794797,0.0027100297151737528,0.0069476112719180335,0.0018403491087697732,0.007714427418481254,0.006668915519638567,3.5080429585645796e-4,0.00784582252096705,6.150919555372787e-4,0.0036445186541471304,0.008079889082261748,0.001065987046039176,0.008043424471191519,8.292780673204532e-4,0.004679166220912491,0.007561605666642299,0.0010839287188849325,0.0061243002592102375,1.3609386460341512e-4,0.005163608708353337,0.006521374502259436,5.155939851235634e-4,0.007163481724208134,0.010282046408905744,0.00263087751763847,0.009091882993846532
0.1622367580575465,0.11415941523341365,0.04207237242187887,0.05346543319770813,0.10345487175388156,0.049647663565049294,0.11061257004434928,0.03412577684053126,0.0024356525195491294,0.0062084187328855815,0.008007379427857638,0.006371459038608684,0.010836516917912393,0.01091041371880907,0.018769506129585115,0.013266502022577823,0.022425385234208735,0.008724885872891068,0.009720898662025664,0.0049241073358704405,0.007667946301183801,0.002565095132004313,0.003295457818255887,0.008672469503488016,0.0025282836643039834,0.019968376065796226,0.006308358484395374,0.009731883012567466,0.006200883715407421,0.00856465626190373,0.009715895899833243,0.002364529678820116,0.0029051691839830315,0.006425992576971569,0.002574820215834253,0.007274451896898042,0.008333468615467602,4.947647476026717e-4,0.006104480202087356,0.001246305126767199,0.004623101426149021,0.006454560921939416,0.0014957108320032436,0.00800477741977333,0.0010592537780294497,0.0059710465288911226,0.006375589319074747,5.569401124165253e-4,0.008041210106907662,2.0208221921290742e-4,0.005053419876508621,0.007788450549897819,7.806430906025565e-4,0.009663251976218467,0.009547295381273422,0.00254504120241584,0.006518350427974655
0.16091643773274594,0.11499922672184555,0.03889001633785125,0.05559012627545338,0.10149874546322835,0.04948644769882718,0.10988180188003745,0.031717522261087025,0.0032705479881210454,0.009560999813710405,0.006630018951372031,0.005427587262417781,0.01080517982793096,0.01096463020147524,0.01741956225406875,0.012253086721400084,0.022929215906654116,0.007584029977339467,0.010304475829883428,0.004974256862367561,0.008308456567199965,0.0038162327910681595,0.0035565410607488125,0.00966067738909806,0.0029673832403335635,0.019890784240415727,0.00760852853032768,0.009629586755256448,0.0061199284777682834,0.008149744980994496,0.010701147625628817,0.0031944833900033596,0.0027545668825993976,0.0056983642231310415,0.0021026092881254537,0.006500036843794167,0.009189529445018624,7.500167923501163e-4,0.007085764091520402,2.009933732206183e-4,0.004893667476825639,0.007538279317269312,0.00097753692780067525,0.007006323360675783,0.0011949491156844618,0.005335497648655826,0.007369130079695307,8.624061701400795e-4,0.008784254995160588,0,0.00473466003365347,0.007256971786718207,0.0010618350713875828,0.008864879723923965,0.010052187934407038,0.0023134985852123592,0.008764629816369513
0.16136956800664887,0.11739791534741173,0.04009378821636098,0.05716204725842132,0.10385598041951574,0.04938106737858051,0.10949015177595257,0.03475800931560908,0.002076956793034253,0.005752692070454421,0.007572381713941925,0.005481006301319538,0.01068071470531676,0.011413566694985429,0.01883563263678471,0.012497477011087055,0.02059024627520028,0.009263050856181317,0.01001220489219146,0.005131139876502851,0.007612927449373058,0.002183331163573214,0.0036218622644400822,0.008381407155949126,0.002537975877529605,0.020862446521944862,0.006562207491137527,0.01127599207764425,0.006029467350649605,0.007369155081713303,0.01038478809580545,0.003222493180048191,0.0025455377868039636,0.007120264715860928,0.00219778824078998,0.006664810165357313,0.007019263018477529,5.850854241705988e-4,0.007081828167706771,7.405527737130872e-4,0.004332744123049555,0.007188570591995308,0.0015946337490690093,0.007146868848734627,5.137481254592957e-4,0.0064792392879980155,0.006927623902002439,5.003499505597816e-4,0.008809955609976449,2.8722982629869387e-4,0.004726815455443886,0.008385796453297,2.548081046759667e-4,0.007245483324429605,0.00932326182879563,0.0023944397580078097,0.007073649512017684
0.16379222704709037,0.12199778895578357,0.038245568884659256,0.05381859764406945,0.10423305281851777,0.05072622807442835,0.11075593608965027,0.03326003093067124,0.0027306613807815067,0.007624326014739458,0.007785704363448879,0.005824582571342073,0.011062058001619825,0.009091195893381653,0.016419337653140086,0.013540514583500429,0.022170113888755952,0.008138280466978438,0.00961215074870932,0.005811651055609385,0.007804806144957281,0.002641584025309359,0.0030704712486874365,0.007852226876629821,0.003064766929097431,0.020856583709205942,0.006174818883414707,0.009299409738455717,0.006399525096379734,0.009587267900151577,0.010595754235987728,0.0031503578803212954,0.002910950648403826,0.006174580305170328,0.0024194300246718546,0.006793549427049652,0.0066803293904646715,8.215122064116115e-4,0.006476722117612802,9.48194307879354e-4,0.004125230841073765,0.005782355371861631,0.001206201444661025,0.007900204674130804,0.0011229320322211705,0.005840486254601121,0.007588495011757722,9.787249214854386e-4,0.00695071212692526,9.710274675020291e-5,0.005736863387200878,0.007172334644220768,6.636391613716398e-4,0.007694564599659357,0.008009356807927286,0.0015825074601962732,0.0071854403508162185
