number,min_impurity_decrease,value,std_err
0,0,0.6198777462195628,0.004236407529302098
1,5e-4,0.7095994196032646,0.005346615465561073
2,0.001,0.728566577230935,0.004277842929741609
3,0.002,0.717280484861412,0.007623411345205767
4,0.005,0.704510213074082,0.005548265404977115
5,0.01,0.684564267431548,0.0026720369150491125
6,0.02,0.6792232422510861,0.0046721609931204035
7,0.03,0.6322181932485378,0.002624350189780549
8,0.05,0.6322181932485378,0.002624350189780549
9,0.075,0.6322181932485378,0.002624350189780549
10,0.1,0.6322181932485378,0.002624350189780549
11,0.15,0.6322181932485378,0.002624350189780549
12,0.2,0.6322181932485378,0.002624350189780549
