i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,within_mandate_period,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.15358281429098938,0.0711448769787862,0.03060821241250735,0.034820691667532946,0.10897226298263706,0.03459424044969439,0.17132818017003096,0.02695060731349484,0.03201892234837601,0.0013186343517535106,0.014898274738468619,0.004491256013734441,0.004693896868164446,0.04848454836847106,0.034157024215041264,0.010818896113984728,0.010271632029181486,0.025376558103926923,0.005037935623002317,0.005970151274548959,0.003827555746912455,0.0039601206478442445,0.0016879289650282004,0.0020283032151974354,0.008356369901741637,0.003893060045958707,0.03792138146407363,0.005801746704733203,0.006628552264812304,0.0054137396007117545,0.006711145458610413,0.00557879948668681,0.002279908043921871,0.00266940011528195,0.004434939013817518,0.0016724144447757953,0.004611609465879144,0.004461714556203286,5.954254752690547e-4,0.004864123346666925,6.791478505962776e-4,0.003634886406548977,0.0042379189212691055,4.4857647257865384e-4,0.004077200989433904,8.32957176978066e-4,0.0032516797061515907,0.00445389047849147,7.539309365514483e-4,0.00527600026034747,3.130140539093504e-4,0.003339903648801383,0.004393299055375312,7.320012741714098e-4,0.004396692722926462,0.0057333625915255175,0.0013695021516679172,0.005138181024222452
0.15684381192561553,0.07352258898405165,0.026358688718109893,0.03516457833626296,0.10239996432816496,0.032995694053647634,0.1714939684156611,0.03374198417805284,0.029926178155802396,0.002370930590735482,0.019200353739323897,0.005299716883191841,0.004783899777488002,0.03996147645930313,0.03558696529211152,0.010612434980061534,0.012614752864189917,0.025714765823158493,0.004435207876756482,0.0056412848377714,0.0036052079194138762,0.005328782946787761,0.0013873180050049427,0.0016119855788274933,0.00766321066306648,0.003719714490780662,0.04124525333491716,0.004861054270188204,0.006150219875921741,0.005540463050034644,0.006579475514737331,0.006089511693854177,0.0018994621172681904,0.003373543433505652,0.004384160976020012,0.001860109162428651,0.006428179973377854,0.004731719011068619,2.801864202575291e-4,0.0035837110784807244,4.815865635645039e-4,0.0036784961787062376,0.003808085266947926,0.0011561265208223687,0.0037702530162415093,6.611584779178042e-4,0.0034471082279150305,0.004581031990372864,6.189408630566473e-4,0.004350846740280733,3.8955366893316055e-4,0.002988116101127346,0.004818736509938949,8.848861430561107e-4,0.0039016674274638904,0.004914518044825521,0.002086092249893435,0.0044702802735335995
0.15480649030256635,0.07678375579187753,0.024586848083671977,0.035021353859181883,0.10864227875390865,0.03251166960532526,0.17256023065955872,0.027158351176735932,0.0326804214734907,0.0015812597426244938,0.01658029262171208,0.003933161409875433,0.005858692732634688,0.0473610175610415,0.031972441536987854,0.010572074486810397,0.0109160487234218,0.025003064158763365,0.004527832242187954,0.005645756141481949,0.003811798278268557,0.004091775938384079,0.0012524528870694175,0.0021161280443371504,0.008914025004325811,0.00335025460327932,0.041965276533472574,0.004091779276643363,0.005291935947559822,0.004893465581927379,0.007243305874070521,0.005088434707825888,0.0024507336947154246,0.0033306423299865016,0.00444927537093123,0.0016419613379836354,0.005470720715555878,0.004886724205750668,5.869614801670281e-4,0.00405243216825259,7.541245753604255e-4,0.0034882837559138953,0.00413061944651717,7.578461979559999e-4,0.004322628013325057,8.012745071566402e-4,0.004384555107512021,0.0036882998529554536,9.968506001270868e-4,0.004315482230880812,9.251471453742898e-5,0.0033376231070432866,0.004060168822590082,5.160691926143286e-4,0.004167913048554171,0.005879661769879313,0.0014697244463493717,0.0051532355663620934
0.15327173313542516,0.07290015523152936,0.026196510564182932,0.035764428346273795,0.10809074220471734,0.031740051307047684,0.17563103697642388,0.025816027781511167,0.03324085005730107,0.002239718828374095,0.01577657406229448,0.004350758544925492,0.004983710430123769,0.048438536996707214,0.031046026727086628,0.01076819125130426,0.0117654431973262,0.027860235816439375,0.0037720631240149892,0.007999143624504426,0.0029633498329644154,0.004840189549385632,0.0015797830880854118,0.0020147022658487087,0.008991436783275185,0.0031752645982854526,0.04143258402293995,0.005463796083278539,0.005076855970827113,0.0047703341173927815,0.006452449306750882,0.005862240236224325,0.002660613973478277,0.0035836825390955216,0.004596983159717906,0.0015008284184166274,0.0063215408786947294,0.003848869794642671,4.0231458705088205e-4,0.003587465410079164,2.901385711993309e-4,0.003520289481671221,0.0038282724020594176,7.016410701022962e-4,0.004186452653502989,8.856302864067271e-4,0.004107276853921178,0.0036409490607545443,6.391303102207131e-4,0.0046978049472880395,2.640175551802081e-4,0.0027640470398692767,0.0035283008466571544,6.25660123313347e-4,0.0037996208838986844,0.005109675445523453,0.0017049768513549774,0.004928892793128952
0.1572702865780113,0.07534167832530718,0.027467315249849456,0.03466010235974795,0.10482924362954521,0.032882643000623143,0.17295258922467563,0.03146261911512188,0.03160964839403812,0.0021912049688906764,0.018885804333834577,0.005653895660617136,0.005251753452345214,0.041204240381999574,0.033253602402727955,0.011862468002592497,0.009671054125945475,0.025346652732792522,0.004097458808544854,0.006019066893500099,0.003515348503060394,0.0042333438082407466,0.0013657396798051372,0.0017423168013942312,0.008737310522374796,0.0030046497531551093,0.04149396505346858,0.0037163970546544764,0.005714556300785361,0.0046749463177346295,0.006767651279508221,0.005809057148739489,0.0022628268565972644,0.0030921847144109896,0.003922055345808473,0.002225475099343331,0.005037864670381545,0.0045145706819300245,6.519996238356493e-4,0.0035544163900536733,6.388295922154905e-4,0.003217414468952531,0.004324244320930395,9.656077338976895e-4,0.004786137471049727,3.366789746363253e-4,0.0036318603944925144,0.004250026042165676,6.81880851592413e-4,0.004915707759019709,1.7336110751132688e-4,0.003505961897735489,0.003988120761986616,7.095350751874941e-4,0.004302274346818138,0.005574313200417881,0.001667096596282174,0.0043809461591158665
0.15716896904021505,0.07758339490674673,0.02489637711220305,0.034925684866172854,0.10930016136258593,0.03225932786707032,0.16905294348564406,0.030830832048043395,0.031297367958956386,0.0020913451785833574,0.017062288973326026,0.004491057790347181,0.00611663078799211,0.0441050661713227,0.03300100895727018,0.010157572384548222,0.012114176025037615,0.025508594515764423,0.003833619457660544,0.006035397603909911,0.0034889338002020813,0.004842740169035132,0.0015677457506269952,0.0020031937942596805,0.008609667383997972,0.004135461295539581,0.03999118120222706,0.004465153024272385,0.0050798644835319505,0.005057974073135965,0.006675066326744578,0.005783459791893926,0.0021570844294721736,0.0035530954713621854,0.0052086570424552826,0.0014886291725696205,0.004873129939385564,0.004255617023113044,5.75731218355378e-4,0.003397187157023137,4.148164153674351e-4,0.002940175674889827,0.003328674850329797,9.094160018606705e-4,0.003755841197050787,2.450379741104194e-4,0.004637021863086151,0.0043795918778905705,8.664676467409759e-4,0.004986435486418409,2.3350569624428259e-4,0.0036656117511994404,0.0044077276901535655,7.869902659370232e-4,0.00401353323709389,0.005166129693484068,0.0021726929221617406,0.004048940713377218
0.15588680061282925,0.07364829830873025,0.0256156619098892,0.03549057414849815,0.1066506240370848,0.03169942345343805,0.17192604276335474,0.026206176644604333,0.0358016813607422,0.0024250619525363467,0.014276890760615864,0.004875931035407973,0.0051717186468963755,0.04842656515776488,0.031183102661712876,0.011386396364666932,0.010785961705878082,0.027238605555611948,0.004864806925476154,0.006788608791873417,0.003192244020713315,0.005119947276853718,0.0015594811589823496,0.0024645095772129703,0.007966555947860212,0.00431014953099078,0.03974797756075047,0.004779930024175415,0.0054152012912673676,0.005227505885767331,0.005564658766356748,0.005480403596656573,0.0017594581585534679,0.0038757775625430473,0.005158406022570892,0.0020002110275842326,0.005724223451387193,0.004576329689710255,4.424624125598689e-4,0.004259159875872713,5.001748699160264e-4,0.0033477576310043376,0.004262995164721494,7.691701244236103e-4,0.0038750329694975335,6.028688960724147e-4,0.003961830389174591,0.00362350278073434,6.982889498973959e-4,0.004393719263155972,2.7856536474498415e-4,0.0037920737126211847,0.0044043844987631834,7.299189463361096e-4,0.003815447324160882,0.005794173525362524,0.0016549478546521727,0.0045216220987804945
0.153549230472537,0.07636576113872368,0.02458833819505339,0.035197915497623314,0.10866223200051296,0.03335177144796526,0.16703544830459782,0.02847352456610474,0.03288497088271434,0.0025612200361621964,0.01595384626996947,0.004693970775642823,0.0053719969209754526,0.046018243440622913,0.03470160356125232,0.01057268234343211,0.010333742694099004,0.0269693581317797,0.004656885266120427,0.005615016167863945,0.0036299898534173417,0.004893156252529729,0.0013107954970943702,0.002175683464698828,0.008982944423334326,0.0038127303054678154,0.042995620250668616,0.0040549964474443706,0.005230941759401886,0.0044400906356028245,0.006333458624290716,0.006545014076771865,0.0016457043155600555,0.004669405096665362,0.004139785623346738,0.001279894616291738,0.004670583349169036,0.004044189176511644,3.7143976293194087e-4,0.00411745005414665,4.103127894650036e-4,0.0029428120231567425,0.004151299079749973,7.938072281478522e-4,0.004148520778539562,6.966052865994261e-4,0.003769696320434691,0.00511725595281615,0.0011325625431174312,0.004725091292096029,3.825615557070625e-4,0.002600689579956046,0.0037639640094934094,5.040789591607302e-4,0.0044739659935457265,0.006019593893461257,0.0025273741225626417,0.004938176892891581
0.15426704460611346,0.0721535042190383,0.02480900860811183,0.03496133239035902,0.10419149274670593,0.033336276609630656,0.1728711346107983,0.026721550474988278,0.0312523846922114,0.0020293698537239904,0.018034751954208006,0.004761720491489878,0.006044596200197653,0.04445951075919597,0.03279581769601117,0.010965020279484913,0.011421717571678827,0.027085997073842568,0.0056487096291903465,0.007135377529538943,0.003705812841698215,0.005022518382907047,0.001428857647408112,0.0016317638241369044,0.007459069100091727,0.0036027012134594036,0.04106228306996469,0.004813711084007917,0.005072851323578446,0.004846422238319898,0.006723279597086304,0.0072229664322709984,0.003091990756687142,0.003410909237151227,0.003788694249993217,0.0017029632862538158,0.0051470430840859505,0.005367967344369211,3.9436179771672956e-4,0.003974055484366054,5.300355396059539e-4,0.004193163431840209,0.004820916659777858,5.471601488150824e-4,0.004560132503190276,6.598273703257062e-4,0.004707794708844589,0.004112667858167336,0.001370635349580034,0.0049055402601636796,3.2641580295903453e-4,0.003922494934098515,0.004003160535489372,9.549539882479191e-4,0.0035238869723738376,0.005710366700048368,0.00259810499254347,0.004136202251856315
0.153122873421666,0.0787765001185111,0.023477907009377998,0.034715237744734964,0.10521555751415874,0.03475390663176362,0.1688766198424698,0.034093195534292034,0.030088108832171688,0.0016582285813748763,0.01923443127877384,0.004831332210276497,0.005672706706500826,0.04124049164998871,0.03611593401117742,0.010869057613432957,0.01121570621117453,0.026859157858140113,0.004431081649654714,0.005840526918217694,0.002980822921012173,0.004926537939314006,0.0017151944568726768,0.002235884549117859,0.008087813605894539,0.003566561694236134,0.040760639863486485,0.004880856631269462,0.005263954411604751,0.004092427887102673,0.006039938925895248,0.006742528161730427,0.0022035916061586016,0.003545594331906551,0.004496347046635255,0.0011980926014882702,0.005899299156659421,0.004463194134637737,7.102172111336318e-4,0.003622536239652368,6.305670666384189e-4,0.0035538592596665746,0.00417012277299175,6.245041303762797e-4,0.005291643179715816,4.402095200866064e-4,0.003544040824111142,0.004262345120361552,9.502820142300878e-4,0.004784727451929327,1.7391340262653767e-4,0.002456392545956542,0.00427476509896831,7.663285265773081e-4,0.004598570902869713,0.004985665387527135,0.0022597413788850917,0.0037117267028153977
