model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_2,logistic_reg,0.7516177556384999,0.0017837026269018044,0.8615494978479197,0.0031881077594450545,0.7707651200724192,0.003614509348402993,0.7244472127063221,0.003099810604047736,0.8028348227323174,0.0023579839262289587
model_2,binary_tree,0.7713223833751329,0.001653887279071952,0.805117168818747,0.0013926561242047896,0.7743229486916718,0.0027569664060945053,0.71762690750545,9.635206779372022e-4,0.7878438064313077,4.4742972200776754e-4
model_2,xgboost,0.8487785323969519,0.0015155627896274537,0.7447632711621234,0.0023228884092953003,0.8310255794390927,0.0024083421016400414,0.7473684210526316,0.0013261191592738222,0.7933598896702375,0.0012675922222961516
model_2,rf,0.780432224432817,0.001232718889676361,0.8862745098039215,0.0017118055581578785,0.8264402925804468,0.002755666651159257,0.7635627530364373,0.0016047534355996536,0.829988184806562,0.0011702681604182968
