i2_health,age,household_size,cantril_ladder,r1_1,r1_2,protective_behaviour_nomask_scale,week_number,within_mandate_period,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.04613317558569168,0.07026975649917463,0.027631918052600284,0.03613831574018242,0.03157730066711901,0.03261223439999974,0.12421722448925056,0.13415203124763825,0.20898150395966725,0.02069404872830938,8.384233831114044e-4,0.03236933774821362,0.0020434795296462773,0.004328579422067563,0.0066546556082337956,0.03610641579133912,0.008949519113323333,0.0045228746858344306,0.00896770085332044,0.006211775583186182,0.006898298668589539,0.0037710980865882384,0.005187540772924657,0.0014696815273638182,0.0020557161455660154,0.005167545052315856,0.0026524495812849684,0.01382689374812781,0.005231034804561041,0.006330608335276394,0.004962956404280927,0.0060274614808691705,0.007261158733218887,0.0025717492437543872,0.003909661813546924,0.0053666539153180825,0.0013056654800884223,0.0037276368290256857,0.004816824829531678,5.930074238262732e-4,0.005451108587698736,0.0012120168350816189,0.0030555972111796803,0.004343293620029663,8.074029120589048e-4,0.005115727978741115,0.0013466187138187766,0.003888244839134363,0.004445761292575008,9.464902635072357e-4,0.005207406418843414,0.0012291282331098454,0.0034300271146466238,0.004324961783095772,8.249364208891594e-4,0.005122139840956324,0.004722953875765263,0.002035172759010658,0.00595709733588972
0.045653112853401304,0.07031038195239649,0.027364778599502586,0.03643477721341052,0.03180797544199789,0.032878584580975694,0.12364707226101931,0.1351381664256159,0.2085634041064269,0.020613649484355623,0.0010571730403549553,0.029820245764198252,0.001985119768872158,0.004369926231255792,0.008042608636063927,0.03638072472289013,0.008891957390086776,0.004355589715449834,0.008566475771123148,0.006048786088185591,0.006814115685383527,0.0036566948122867616,0.005430207053972164,0.0016924833286623344,0.0020986432982928113,0.005268105702273874,0.0028494116048111665,0.013977552961736481,0.005361769553462775,0.006325499245132446,0.004841618172267975,0.0057058132119403165,0.007407476753806071,0.0026049936884533875,0.003975191083319084,0.0057721000953739,0.0012936900536228433,0.004038076642091427,0.00457410920629128,5.408291393633463e-4,0.005510975630957526,0.001249036125245595,0.0030542089188640596,0.004334779289029627,7.058272378766775e-4,0.005199491568600309,0.0013210802425950123,0.003907586470804579,0.0042460297068653875,0.0010136047448054478,0.005367660024093295,0.0012530124714314496,0.003426549502286352,0.004350950108972664,8.119734866497343e-4,0.005057012605034603,0.004811056982161869,0.0022077693194592946,0.006012504224139707
0.0458632008940078,0.07084599838040653,0.027633322962698686,0.03640881193520917,0.033338450525835214,0.032327611378617845,0.12210677395348203,0.13548943450582193,0.20913515936396423,0.020758896934786823,9.052087012263495e-4,0.030000828953934,0.001995685837736796,0.0041268890278830985,0.007369997794127253,0.03691336046534336,0.008896066836716445,0.004952000541647683,0.008647279211470706,0.006250332314002161,0.006950174655961055,0.0037854116913065804,0.0051498699773320205,0.0015060669909612123,0.002110462694431267,0.00525153139269475,0.002788949872545882,0.012436412255580944,0.005397088856827816,0.006158027556874814,0.004953577568733596,0.005997817850095048,0.007227849104659636,0.002797273909397762,0.00403055831134377,0.005715087013774072,0.0011791776060563687,0.003801744505720249,0.004673439730641667,6.699918732134878e-4,0.005384397608491175,0.0012189227001701938,0.003224627661371311,0.00425335505405729,7.411606767333544e-4,0.0050506435440199155,0.0014309703800738603,0.0039027520305760306,0.004395627806014359,9.260802344770079e-4,0.005333361725664051,0.001249498001830835,0.003399971323722648,0.004378473511954337,7.827648998330108e-4,0.005005530865255256,0.004680169112797766,0.0020993686058653218,0.0059965003200221694
0.0460391503293283,0.07079109807273765,0.027294058621299386,0.03585308803127581,0.032354924226418606,0.03305438139312679,0.12330557380429898,0.13399154908988925,0.20932769093446046,0.021363660064255927,8.257113841081519e-4,0.02921327907385867,0.00220196497559646,0.004576605763594218,0.0077787350078630255,0.03635184345929329,0.009060970128617594,0.0045497872099978095,0.00835232545323181,0.006287968511037437,0.006944325201274186,0.0036383047462291095,0.005183030723123103,0.0015449807491069267,0.002349453683039236,0.005110275021759967,0.0026909922651339206,0.013131413492287596,0.0053478589583218035,0.0063316343586332785,0.004859054818090518,0.005771820964458412,0.007734555672661877,0.0026718877823596874,0.004182450756433277,0.00556060113655711,0.001261341044308075,0.003942777354869667,0.004704184886981623,5.461328882632663e-4,0.005490559905820474,0.0012307898581710524,0.00319043394073949,0.004215933152536322,6.899807891303409e-4,0.004972338848033413,0.0014562467141753215,0.0037711246907117476,0.004437714574270639,8.993518528307137e-4,0.005260010986777619,0.0012031944672441734,0.0036389109986600904,0.004312857755330901,7.6507386037466e-4,0.00528885393581218,0.004659295132570105,0.0021431808338001333,0.006292705664828383
0.04625620885715167,0.0712873589711391,0.027461636554494614,0.0364689740575969,0.03271804957213089,0.03249038381629602,0.12337215666715305,0.1343771965696938,0.20866772969092737,0.021257481670954356,9.40187076472589e-4,0.02987613033948712,0.0020779737705781893,0.0042462638922989545,0.007472951471684854,0.035650698487802335,0.008772531666834518,0.0045426136831450085,0.008378526364450455,0.006115055120705469,0.007079602497759629,0.0038138229693701585,0.0051041654472064255,0.0015310062949263456,0.0021079563251920237,0.005362537310156242,0.002318432140747814,0.013822650482565684,0.005333768151541174,0.006349227398686131,0.005014059999609658,0.006151979088666653,0.007246031200631322,0.002634393004495651,0.0040296133994806894,0.005702493030635846,0.0012458421755119778,0.003906409486136193,0.004646226842325953,5.905308642003295e-4,0.005342899053746267,0.0012720789468934888,0.0032099602217513725,0.004201524375895361,7.396257180781767e-4,0.004837481770972098,0.0013716087980352727,0.004141705401369988,0.004470633835383574,9.146064241204354e-4,0.005216520347130961,0.0012326880014794585,0.003391296549475916,0.004364485461746818,7.732785896813055e-4,0.005310419590121858,0.0047749608889730705,0.0019841483081923105,0.006029221306109062
0.046244423963623674,0.07042397691744723,0.02713465264793986,0.036163592965611696,0.03201378407659084,0.033074521109079484,0.12369229990726302,0.134019848252264,0.21021305549047398,0.021294893203700933,8.05451913852229e-4,0.03011547700616978,0.0018489121445089296,0.004691482723024705,0.008253374239833586,0.03604625439442619,0.00884406667931737,0.004528334239105531,0.008785492581185545,0.006272836109960647,0.006808785955195767,0.0036370230466756443,0.00515639462865859,0.0015297279850460344,0.00215345580865448,0.0051597184889879966,0.0025466940506878475,0.01320583500442475,0.005301722847409737,0.00629268480984155,0.004979987848633521,0.005689202515446344,0.007409233980554513,0.002565548842143001,0.003841378743611526,0.005545708594281276,0.0013065227907415016,0.003990180028837831,0.004669178441441007,6.180395869679367e-4,0.005506878619021709,0.0012943660016163615,0.003139611360141066,0.0042906725204502685,6.904927672845429e-4,0.0051186929937108,0.0014131239149797572,0.0038181898501996893,0.0042863030891014346,9.477194792019645e-4,0.0053476680091830925,0.0012188564202104848,0.003522848817660411,0.004277440829756233,8.392609145186339e-4,0.005064786469909578,0.004479807222642658,0.002154184762746517,0.005715341394044694
0.046594764995757876,0.07137856501090317,0.02728852116482148,0.03694916945348859,0.03233609303147844,0.03246717993790245,0.12206310333022902,0.13380667288246414,0.2093691862844889,0.021095801031936694,9.977459546387467e-4,0.03016535626079204,0.0020463144422565873,0.004075978030780642,0.0071489162626052925,0.03566670049199814,0.008906107697355746,0.004612396340263963,0.008534517280391334,0.006164445546476315,0.007055762835783445,0.0036595532205515877,0.005223300007520931,0.0014955654763495788,0.002217970455925332,0.005345802528209525,0.0025159301031231355,0.013503328565207714,0.005420140594034581,0.006424340493190622,0.004968201136733711,0.005969215048498167,0.007408540072851225,0.0026956512838888103,0.004091866835780881,0.005679291018463712,0.0012942813767921522,0.0041195824187003904,0.004771162332613918,5.817454531408552e-4,0.00550053786447642,0.0012533966632626726,0.0031470358708231574,0.004178277394977495,6.962914350549368e-4,0.005091302287703143,0.0013723215115451892,0.00392610258128191,0.004381821465968039,9.866308996017428e-4,0.005249299963423919,0.0011715239767276,0.003501280652039698,0.0043886332180903005,7.63104044724244e-4,0.0052412112621525436,0.004856653972006626,0.0021769024339213026,0.006008905813829196
0.04653962344675934,0.07093618992886427,0.027075384515254392,0.03681118275194947,0.03191509703026671,0.03318571238998183,0.12130157268012222,0.13473933583311687,0.21188505911743988,0.02102255089555037,9.72642264677881e-4,0.030991392903202943,0.0020278800867706164,0.004302927799465734,0.0061604973634509265,0.03506978117350352,0.00918068602216577,0.0047104170424478705,0.008788460160101538,0.006480805687244136,0.006985002610452702,0.0038147831945892522,0.00529744927235091,0.0015231989779152272,0.0021492647043618394,0.005295564141527241,0.002477670619350279,0.012442826918621143,0.005571197502833477,0.0064095893905196134,0.004907793458613916,0.0058206084209215525,0.0074075159253017735,0.0025976305769433022,0.0039513596057866645,0.005576389500273358,0.0012566910006335066,0.0038595822342921806,0.004636744957898787,5.390505913247623e-4,0.00528946395374296,0.0011932871490807954,0.0031671271254724857,0.004281923385169832,8.012446170194671e-4,0.005005987183520601,0.001444094278888716,0.0038217402847700835,0.004359219895503977,9.484964893164721e-4,0.005362989985381606,0.0012606633338140437,0.0035066985228205945,0.004570790288427011,7.793969333768257e-4,0.005079590016091791,0.0046278431392418745,0.0019309839074159783,0.005951346814097044
0.0462516169170985,0.07041795065253331,0.02751237076342116,0.036532926481999475,0.031618169980850444,0.0326237256453843,0.12395782039844196,0.13574442829114447,0.20653803877556812,0.022027281280068915,8.744323748167482e-4,0.03238477574062457,0.0020321417807820006,0.004249130046073341,0.006124633922105686,0.03554103113591498,0.009002052125561138,0.0047001903085361315,0.008560637661215339,0.006243596202516004,0.007046127624994961,0.003772745746607736,0.005284628607698445,0.0014583894073881597,0.0021132727320483857,0.00520489129726404,0.002707029120326279,0.013703990915976554,0.005261383323123267,0.0061914182599662896,0.004945819682144696,0.005909648681331817,0.007554929188800562,0.0027410466575266885,0.0038742857815680576,0.0053907886442568055,0.0011713606133221352,0.00397464199847735,0.00482980176551546,4.955635122188632e-4,0.005243671934182966,0.0012006266675344145,0.0031318233261568695,0.00422824204573479,6.930235715297169e-4,0.005161149167486727,0.0013609930457846432,0.0038778718383937426,0.004403107779244764,8.391427942546518e-4,0.005213553002815874,0.001145608204708811,0.00342296963422471,0.0043125169513351025,8.564201001817151e-4,0.005260982619983303,0.004760792213029332,0.002037128331817312,0.00628166272638739
0.046239370140283384,0.07035874437617323,0.027274322280673717,0.03784561416212833,0.032161761254265536,0.03290941550160035,0.12195711127438538,0.1335312281221974,0.20920420359066194,0.020510901408615122,9.343113655036927e-4,0.02969850402450701,0.0020407567805315495,0.004505967420348506,0.008311921252476399,0.0360945052199504,0.009034334873273488,0.004495203965384809,0.008738355872308078,0.006292938760128245,0.00708210761844568,0.0037883903994423516,0.005139996503924536,0.001550314607783231,0.0020799717709665544,0.005341818497587309,0.002575385619726667,0.013421460069830004,0.005327851547964379,0.00634778329004901,0.004861291023102718,0.006007223753774515,0.007289079694298871,0.0026469526023574917,0.0038038246868823044,0.005587072726221518,0.0012317294483216415,0.0039674217184247846,0.004631304509171508,6.030626835973673e-4,0.005417576032171483,0.0013144975440323248,0.0031932557347905863,0.004300340957628166,7.137877315027764e-4,0.005038822418478867,0.0014986757290623737,0.003913240511702387,0.004416496368717917,9.229811376997382e-4,0.005479787758914086,0.001232687011055495,0.003519461718522382,0.004493021876563957,8.210443759622782e-4,0.005295684151046694,0.00479862693455747,0.002091551353020755,0.006114946237301254
