i2_health,age,household_size,cantril_ladder,r1_1,r1_2,protective_behaviour_nomask_scale,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.0658801272360037,0.12814124115523318,0.032916543999270353,0.04637859417712102,0.054681652363066706,0.04446392480446297,0.18491569328122587,0.12451661541059428,0.0842743643483402,0.0011900852757789277,0.0035410400031800435,0.00534872055911852,0.007889197418946009,0.001504052812880484,0.004269380907497813,0.010893413740715905,0.004664102179718414,0.010213911810737664,0.008647724992743043,0.008690253806832183,0.006582512024623715,0.006902490721103918,0.00179793924127557,0.0015886136028690136,0.007819460862912546,9.625860204891984e-4,0.011466880981995957,0.006054633914342416,0.006764753151477176,0.0031659033835859003,0.006920976426117434,0.012423230589414636,0.003022128480063307,0.0020440047312065726,0.005711917777769003,0.003052224971643874,0.003503523322553681,0.005362142927964066,4.044073242623252e-4,0.007139354435325238,2.3365702539933532e-4,0.0019516868269087878,0.006507060635315164,2.073629794895114e-4,0.004427571665190586,7.313704613932923e-4,0.0037799992072168613,0.004648664946212562,9.856773897293097e-4,0.006258326682013168,3.5686382135151785e-4,0.0042451028009319386,0.0051835960380792814,8.83588175154009e-4,0.005899264272861863,0.00607201761486507,0.0017605001289264773,0.010157364154498456
0.06473170390398383,0.1279150971177074,0.031146385215162067,0.047931474176085447,0.05920402299203978,0.04360408623919233,0.17850077128580263,0.11978917633981136,0.08792890767882351,0.0019030698102824488,0.0050759777500616575,0.007243680707390661,0.009050641262371767,0.0013064625506039194,0.004189448750654316,0.013698584140333363,0.005252030208527974,0.007733501400615675,0.00783877898195019,0.008558498189842435,0.005274291828751689,0.008938957197547876,0.0017647629849723886,0.0021735408489530236,0.006432402915081314,0.0015623111759663173,0.010821028408828799,0.007250609900460034,0.006938613457581392,0.004269239012868105,0.006968273935111915,0.010339642312263555,0.002335832493735527,0.0030130765147532317,0.003579389366338384,0.00276546298522757,0.003671485760834464,0.005107858000941909,3.275526429721624e-4,0.007445606902874623,2.3597530392892446e-4,0.0034160209398210835,0.006004951541749443,6.487015128009207e-4,0.004603548185351618,2.781198285950792e-4,0.0046554931274504635,0.004469476275620249,5.077140585281013e-4,0.007553793847012183,6.427800844421708e-4,0.004741544676048071,0.005704755558033478,9.221973459734556e-4,0.005271298832415845,0.00561201913469611,0.0016124780343105345,0.00953689436591522
0.06669916173791622,0.12733077188255806,0.03240436607853485,0.046498636242088935,0.05715235875515955,0.04237130086330941,0.1753767616414983,0.12269239534542606,0.09153180033097057,0.001405935052188454,0.004914367842899035,0.006836026302596733,0.008631059528349186,0.00125208525988545,0.0039017497227351824,0.010829570131121053,0.0044100564113261995,0.00983660046822058,0.010014563925637914,0.008753080131196826,0.006814321786335002,0.007668911080754347,0.001948316068753716,0.0024364254777300785,0.008331360871134065,8.659998240565164e-4,0.011647407226314922,0.007359191691050915,0.008032157426778425,0.0050461850982728715,0.007559027049761922,0.009903180371594355,0.0031647192944307,0.0026776799540513983,0.004832507691643862,0.002654040867927402,0.003743101880916327,0.004644276666668069,1.2957616649282528e-4,0.007356045315266154,1.3285605980234547e-4,0.0022537877740117624,0.006692467025800114,8.260432042368163e-4,0.0042363551013466436,2.6990631508321683e-4,0.0038826493164634867,0.004234474140976175,4.463606797694518e-4,0.005795690918134325,9.025916045913845e-5,0.0036044488368186475,0.005590459127702261,4.0004728553391113e-4,0.005726394286269761,0.005733935869022299,0.001305940333293479,0.009120845101723753
0.06673659109068769,0.12825725043583608,0.030688489714651414,0.0471758619629614,0.05774480624720325,0.04059327259972708,0.18513062045341866,0.12205904066865066,0.08666403936400892,0.0013774016502605,0.004556368424835408,0.00634099376797804,0.009616601637084325,0.00221146189420724,0.003925536918458526,0.01036932777117251,0.004663995962381735,0.00858612408039528,0.009624729335212454,0.008839362711301197,0.006973256962821736,0.0077053156760713845,0.0013591659574938974,0.0021581837058459678,0.005774594418670181,9.219996525500002e-4,0.012494901481503545,0.006840502501374834,0.006431034195811515,0.004379935306027824,0.007234518298794857,0.009113280343162666,0.0024260787118504787,0.002023874034684104,0.005468876241473047,0.0030275990120457764,0.0034946673986418907,0.005146291623845225,2.805246434984841e-4,0.006200260605908588,4.195781819708074e-4,0.0028290567478314287,0.005247880130368822,9.700430490151565e-4,0.004845694946399422,5.98231498712874e-4,0.004901978175125791,0.0036063356250182533,3.1898324948699894e-4,0.007001662989856737,0.00013246564609100347,0.003698338882685578,0.006396708026955128,6.73607686618284e-4,0.007403405813356209,0.00595630343878928,0.0012389698434456021,0.00914401860576426
0.0637221011243279,0.1256712518939241,0.03174692983114428,0.04666400614121933,0.05665676585914433,0.03901123626721382,0.18698633049938776,0.11972589217502659,0.08836563297265436,0.001084684883205738,0.0036118642112507216,0.006654071738397389,0.009266023837065521,0.0017721050911803395,0.00485658518132601,0.012202302008908837,0.004661780759430654,0.008678765444528912,0.009778589509349246,0.006790312976332035,0.006209909014216418,0.008547975419073489,0.0016154438334842832,0.0022241195916494596,0.0072199075937405335,0.0011168930062988838,0.010433847467926723,0.007777897993597068,0.006982529700385006,0.004297239065308972,0.008501758484374395,0.009684758934350269,0.0024147905924168612,0.0024557365532503297,0.00452764032608041,0.003168379728228883,0.004195348510649924,0.0051328398349383,5.153127309406822e-4,0.008219930416119786,4.910769582135368e-4,0.0024630598722218877,0.006355831038557416,3.8432099051188546e-4,0.005201091466882988,6.462228995102173e-4,0.003992756861257898,0.004601114472412253,0.001270021223243518,0.0054886438828591,0,0.00603192979986146,0.0055244092764429025,6.986635731372956e-4,0.005797505061600966,0.006160752332183134,0.0011221544031924792,0.010620954685862488
0.06451268511222177,0.12491061392923104,0.03320460310744793,0.04578874744407898,0.057586596222908785,0.04595617892783288,0.17331194996375304,0.12295154103955001,0.09520098127854522,0.0015841536122907192,0.0032245363792674565,0.006395838193583802,0.009591041786179219,0.0017679786530613519,0.004885709969662974,0.01112457618740248,0.004873158941696453,0.008587614245759666,0.0086494403722142,0.007633723148453991,0.006299690078015723,0.007644776690790557,0.0014704455223957986,0.0011724049634785666,0.006644407454781122,0.0011212185201154808,0.011249994901067392,0.006676669208887851,0.006882047169267286,0.004329357240972441,0.006434709105287395,0.01082606797421495,0.00355423197215816,0.00244495661530094,0.005236762950599333,0.002613945674872492,0.0032124416552024447,0.0053151316195835935,2.342888280907026e-4,0.0076265603980802945,0.0010608042269281174,0.0025929602737030676,0.006546685167057836,5.25562707276174e-4,0.004614830652491847,0.0011118393002469524,0.0035961257064467535,0.005462758903571976,6.274716119101854e-4,0.0056664799008709285,1.677444057908719e-4,0.005396503271852788,0.005122560308921526,5.433876507163927e-4,0.007579017804623014,0.0045908033524873606,0.001330463427145208,0.010732224269654495
0.0611839205443218,0.12464612474657434,0.031896122921572956,0.05020743678052788,0.05961660821870146,0.04497562441703549,0.17964429251716404,0.11925597921103703,0.09707904976919504,0.0013594891040898697,0.0036157626390942326,0.005629521550517435,0.007614183386142678,0.001533543958375091,0.0048715184019816615,0.012656204312966995,0.005319411269154744,0.008660296465286174,0.008181652025965743,0.00782235734154838,0.006235486353469758,0.0063001672918053565,0.0016281850197271614,8.303247638720395e-4,0.00786108842380842,0.0016895111038862233,0.012057405124028467,0.0066581027736077325,0.006804080824843787,0.003614792001235923,0.007468456121721689,0.008926709466223823,0.0030364330987753116,0.0025504572087894552,0.0046404601497012235,0.003738270450187018,0.00342326324664682,0.004682552858929873,2.766930591979149e-4,0.00651068734238533,2.1395612988430701e-4,0.003243279586934602,0.006325076847018423,8.831925015188139e-4,0.004233713348933256,5.471807411668021e-4,0.004443961326780218,0.004914299226884982,6.925898778686797e-4,0.005733486617962962,1.2868142876469683e-4,0.005862380591456052,0.005753141260560348,7.350100999711704e-4,0.005961754092892416,0.005291212072077391,0.0015333128126570387,0.008801545172571453
0.062268528469032886,0.1271127495548783,0.03375899403831702,0.04670003770846941,0.0549241576911684,0.04125004911149079,0.18284900708015267,0.12159609214647966,0.09170233072673258,0.0018426073430070076,0.0036762889835306877,0.006802152218776578,0.008436424905339874,0.0014010522071744916,0.005083821930798191,0.011448847572304337,0.004457742881159337,0.010211958840942576,0.009431159289905795,0.008381140110845208,0.006043752991849806,0.008018891839581918,0.0021880082067461297,0.001486937790921241,0.00644912704533549,0.0010606005359563389,0.012559235699766578,0.007351963964798424,0.006771838642723215,0.004225699591653584,0.007217386810481359,0.011496908042300875,0.0020133700943934254,0.0014837389659277274,0.004615367405775903,0.0032400096371675196,0.0038446362623100697,0.005747364340037965,2.432487107322054e-4,0.0067919362662313045,5.044558349606224e-4,0.002997869506944725,0.0059117824654125045,5.308022186704491e-4,0.004884976260515834,8.600344682194359e-4,0.005600121371831086,0.003989771335388945,8.017972373114306e-4,0.004957264460606482,1.9659614974971626e-4,0.003394151101387557,0.0046797761663131465,7.691717390952529e-4,0.00605550318158905,0.006360969691638991,0.0015211050188496163,0.009798686136318287
0.06509789924775819,0.12285273847018767,0.03223472709730415,0.045531281529875206,0.05686255173533677,0.04537281779125322,0.18080520911692663,0.12118573456325295,0.09490674002665901,0.0018470827131421383,0.004548205683760028,0.006274956927493716,0.008343037781299703,0.001273805032281634,0.004036676326955891,0.012028134280833786,0.00451100797500264,0.008659982261090738,0.008577568596949922,0.008039306599105333,0.005799819590569122,0.007634884014678018,0.0012599227424212908,0.001991950403647793,0.006156539210683602,0.0014423487695717431,0.011360888642444344,0.008049308733836339,0.006617169510748689,0.0036574364468356783,0.0075581584753726385,0.01109714899662694,0.003094484045705749,0.002223890456189373,0.005591675955116768,0.00251072825540187,0.002914499333139473,0.005449162537746975,6.463360678260607e-5,0.0072346054146756504,4.787284970565595e-4,0.002470307597922338,0.007675712540076286,5.384663182254829e-4,0.005414835940913996,5.410709442063016e-4,0.004117182614453519,0.005626385109258653,3.22229059798536e-4,0.0070545298930512,3.771084635227289e-5,0.004080724516493347,0.005014155076104992,6.158983809850733e-4,0.004708993747849755,0.0052387305140286266,0.001080932582252787,0.0102846869223063
0.06314855490730101,0.12436463778427087,0.032426072845535066,0.045776946350019394,0.056001618469208966,0.043198971220723054,0.18366110990025555,0.11745959807394946,0.09281348285730781,0.0022452202418125496,0.004333965947408833,0.007070765030649082,0.00939132355031656,0.0014753250353039798,0.003954557345114102,0.012361422435513714,0.0056833609973690555,0.008062319549426393,0.008394383182235801,0.00950021717289763,0.005522353403449859,0.007146260990133581,0.0010507023823186634,0.0021649662680704625,0.008437822350769567,0.0014088173142346987,0.011690609314589213,0.00749013262526697,0.0069888507734406176,0.004248834059685939,0.00780798486387282,0.010385188162796537,0.0035130491678442653,0.0028796892892395034,0.005213378756247768,0.0021658493237490272,0.003782480809222729,0.005434911807553954,4.78842387308083e-4,0.0063837195690608466,3.5643958869744437e-4,0.0025513053442380237,0.006778033133411456,3.1897362389903694e-4,0.005717722870136918,1.7560174678500122e-4,0.005054564826074929,0.004272162073680381,9.643305348375576e-4,0.005864694485846334,7.06391171089879e-5,0.00473562153854075,0.004117628679285365,8.149398169150559e-4,0.005480643335426183,0.005469129106700572,0.0013268894671058368,0.010412384195836183
