number,learning_rate,subsample,value,std_err
0,0.02,0.4,0.853907566102688,0.0037709919353136616
1,0.05,0.4,0.8570431407016773,0.0038762202331018725
2,0.1,0.4,0.8535928001171904,0.004449779715002858
3,0.15,0.4,0.8476924485461071,0.0037409735514411856
4,0.2,0.4,0.8441615395883688,0.0033090375641694897
5,0.3,0.4,0.837550355233282,0.003982616668317108
6,0.5,0.4,0.8236147733098953,0.005289658700512636
7,0.7,0.4,0.8137600710466564,0.002780540832551585
8,0.02,0.55,0.8542551087673039,0.0038331353533365064
9,0.05,0.55,0.8586259430161869,0.004316497484961451
10,0.1,0.55,0.8557392148245807,0.003628100992113549
11,0.15,0.55,0.8502675236211822,0.0043008093527278825
12,0.2,0.55,0.8464046363436607,0.004760378224575929
13,0.3,0.55,0.8415703508386435,0.005156904906265821
14,0.5,0.55,0.8316221709514392,0.005616041336953568
15,0.7,0.55,0.8217531861129422,0.004992774120597381
16,0.02,0.7,0.8531850142825753,0.003729639269780478
17,0.05,0.7,0.8569534168314656,0.00371154640800466
18,0.1,0.7,0.8543666227202812,0.003931372991755602
19,0.15,0.7,0.8522722112356259,0.00360230120350292
20,0.2,0.7,0.8484184794550648,0.0033406660513330437
21,0.3,0.7,0.8451651651651652,0.00441809201715874
22,0.5,0.7,0.8374723503991797,0.0054115532928635445
23,0.7,0.7,0.8289169962645573,0.006340825643061484
24,0.02,0.85,0.8519565297004321,0.0036814539713140824
25,0.05,0.85,0.8563998754852413,0.0035797829837762203
26,0.1,0.85,0.8557124807734564,0.003913208379428067
27,0.15,0.85,0.8529628103713469,0.00425790355994603
28,0.2,0.85,0.8495636490148686,0.005677035775696036
29,0.3,0.85,0.8474785761371127,0.00461726301636124
30,0.5,0.85,0.8392024646597818,0.005276223372059079
31,0.7,0.85,0.8368644254010108,0.00574762850978124
32,0.02,1,0.850277503112869,0.003697087604284067
33,0.05,1,0.8522286310700945,0.003847854976641844
34,0.1,1,0.8534757928660368,0.003314646433973283
35,0.15,1,0.8502783271075954,0.004168967549499451
36,0.2,1,0.8494362044971802,0.003791002171296268
37,0.3,1,0.8473613857760199,0.004475433173657476
38,0.5,1,0.8413821138211383,0.005180268290975633
39,0.7,1,0.8353989050025635,0.004526892546840149
