model_number,model_type,precision,precision_std,recall,recall_std,roc_auc,roc_auc_std,accuracy,accuracy_std,f1,f1_std
model_1,logistic_reg,0.804151560927165,0.0035077134301334007,0.8178509532062391,0.0018334150442663609,0.870265078770278,0.0015487490727535559,0.7943631267517907,0.0021601623869541638,0.8109092745322278,0.0015722169727326498
model_1,binary_tree,0.8256711546181301,0.004286728773365816,0.8378971692663201,0.00680971728772131,0.8813941324339938,0.0016651109943673723,0.8170663344752414,0.0012436919059951785,0.8315638742401332,0.0016550521509338563
model_1,xgboost,0.8596379333436652,0.0020579443090199584,0.8454650491045639,8.799275685573453e-4,0.9138568941558542,0.0010071067975450242,0.8422609778885083,0.0014903128139527057,0.8524877465987544,0.0012782935002688773
model_1,rf,0.8473291646603063,0.0018320825079722936,0.8466782206816869,7.187674645867438e-4,0.905747253969741,0.0010432398191218325,0.8350981002802865,0.0014031616725093605,0.8470004802719192,0.0011899229970776318
