number,min_impurity_decrease,min_weight_fraction_leaf,value,std_err
0,0,0,0.6548291771524442,0.00398112459059011
1,5e-4,0,0.7851573973623811,0.005949859079944388
2,0.001,0,0.7871386250531976,0.004323751541461226
3,0.002,0,0.7718913513553406,0.004248686046272817
4,0.005,0,0.7541437578566456,0.006543991940502503
5,0.01,0,0.7096988829110732,0.014703502427649045
6,0.02,0,0.6709077485283012,0.006145348480863867
7,0.03,0,0.6670844372612256,0.005953107410757125
8,0.05,0,0.6268798139251125,0.004862477732051214
9,0.075,0,0.6268798139251125,0.004862477732051214
10,0.1,0,0.6268798139251125,0.004862477732051214
11,0.15,0,0.6268798139251125,0.004862477732051214
12,0.2,0,0.6268798139251125,0.004862477732051214
13,0,0.005,0.799091058368573,0.003261559409400497
14,5e-4,0.005,0.7941375278903231,0.002812255801927089
15,0.001,0.005,0.7815786414860407,0.003926756390339777
16,0.002,0.005,0.7723804928868914,0.004022919901351927
17,0.005,0.005,0.7541437578566456,0.006543991940502503
18,0.01,0.005,0.7096988829110732,0.014703502427649045
19,0.02,0.005,0.6709077485283012,0.006145348480863867
20,0.03,0.005,0.6670844372612256,0.005953107410757125
21,0.05,0.005,0.6268798139251125,0.004862477732051214
22,0.075,0.005,0.6268798139251125,0.004862477732051214
23,0.1,0.005,0.6268798139251125,0.004862477732051214
24,0.15,0.005,0.6268798139251125,0.004862477732051214
25,0.2,0.005,0.6268798139251125,0.004862477732051214
26,0,0.01,0.7826151037015717,0.004740303342388615
27,5e-4,0.01,0.7783355534891502,0.0037066550468034722
28,0.001,0.01,0.7750066727674826,0.00440945127156894
29,0.002,0.01,0.7707919744749732,0.00397651941832287
30,0.005,0.01,0.753786288170075,0.006766670091352751
31,0.01,0.01,0.7096988829110732,0.014703502427649045
32,0.02,0.01,0.6709077485283012,0.006145348480863867
33,0.03,0.01,0.6670844372612256,0.005953107410757125
34,0.05,0.01,0.6268798139251125,0.004862477732051214
35,0.075,0.01,0.6268798139251125,0.004862477732051214
36,0.1,0.01,0.6268798139251125,0.004862477732051214
37,0.15,0.01,0.6268798139251125,0.004862477732051214
38,0.2,0.01,0.6268798139251125,0.004862477732051214
39,0,0.02,0.7674286536630726,0.004113007646188662
40,5e-4,0.02,0.7674286536630726,0.004113007646188662
41,0.001,0.02,0.7671745964974428,0.004317707195454823
42,0.002,0.02,0.7628834842547287,0.007950561781211183
43,0.005,0.02,0.7524555169334544,0.007451039914703337
44,0.01,0.02,0.7096988829110732,0.014703502427649045
45,0.02,0.02,0.6709077485283012,0.006145348480863867
46,0.03,0.02,0.6670844372612256,0.005953107410757125
47,0.05,0.02,0.6268798139251125,0.004862477732051214
48,0.075,0.02,0.6268798139251125,0.004862477732051214
49,0.1,0.02,0.6268798139251125,0.004862477732051214
50,0.15,0.02,0.6268798139251125,0.004862477732051214
51,0.2,0.02,0.6268798139251125,0.004862477732051214
52,0,0.05,0.7198254071925668,0.013848827180777828
53,5e-4,0.05,0.7198254071925668,0.013848827180777828
54,0.001,0.05,0.7198254071925668,0.013848827180777828
55,0.002,0.05,0.7198254071925668,0.013848827180777828
56,0.005,0.05,0.7189843617390278,0.013136477584594363
57,0.01,0.05,0.6838757647545036,0.01526713335108945
58,0.02,0.05,0.6686955569823593,0.0063555793157306795
59,0.03,0.05,0.6670844372612256,0.005953107410757125
60,0.05,0.05,0.6268798139251125,0.004862477732051214
61,0.075,0.05,0.6268798139251125,0.004862477732051214
62,0.1,0.05,0.6268798139251125,0.004862477732051214
63,0.15,0.05,0.6268798139251125,0.004862477732051214
64,0.2,0.05,0.6268798139251125,0.004862477732051214
65,0,0.1,0.6674721650270724,0.005603567450427597
66,5e-4,0.1,0.6674721650270724,0.005603567450427597
67,0.001,0.1,0.6674721650270724,0.005603567450427597
68,0.002,0.1,0.6674721650270724,0.005603567450427597
69,0.005,0.1,0.6674721650270724,0.005603567450427597
70,0.01,0.1,0.6674721650270724,0.005603567450427597
71,0.02,0.1,0.6662605503526419,0.006013847564722517
72,0.03,0.1,0.6662605503526419,0.006013847564722517
73,0.05,0.1,0.6268798139251125,0.004862477732051214
74,0.075,0.1,0.6268798139251125,0.004862477732051214
75,0.1,0.1,0.6268798139251125,0.004862477732051214
76,0.15,0.1,0.6268798139251125,0.004862477732051214
77,0.2,0.1,0.6268798139251125,0.004862477732051214
78,0,0.2,0.6642160082459416,0.00467612858953346
79,5e-4,0.2,0.6642160082459416,0.00467612858953346
80,0.001,0.2,0.6642160082459416,0.00467612858953346
81,0.002,0.2,0.6642160082459416,0.00467612858953346
82,0.005,0.2,0.6642160082459416,0.00467612858953346
83,0.01,0.2,0.6642160082459416,0.00467612858953346
84,0.02,0.2,0.6572621850269248,0.005983472906898058
85,0.03,0.2,0.6572621850269248,0.005983472906898058
86,0.05,0.2,0.6268798139251125,0.004862477732051214
87,0.075,0.2,0.6268798139251125,0.004862477732051214
88,0.1,0.2,0.6268798139251125,0.004862477732051214
89,0.15,0.2,0.6268798139251125,0.004862477732051214
90,0.2,0.2,0.6268798139251125,0.004862477732051214
