feature,mean_importance,median_importance,sd_importance
i11_health_Very willing,0.16621842608057458,0.16574792355954598,0.009263050610289581
i9_health_Yes,0.15816427947082215,0.15909362030639662,0.008666852880043104
r1_1,0.15361552678669638,0.15442404843680207,0.006912207325095806
i2_health,0.09984720151764673,0.09994555024027062,0.004462438535958242
week_number,0.09672214596917937,0.09679132954484017,0.0038232308841636346
age,0.03703303287389982,0.037020223940216236,0.0014813611765962876
i9_health_Not sure,0.02561983031086449,0.025551713733199408,0.002545134370176116
gender_Male,0.025036098549792447,0.024803118640438125,0.0018629699628673081
i11_health_Very unwilling,0.022668467831491436,0.022344537591468264,0.0022497077107780554
WCRex1_Very badly,0.021109839773241417,0.021101635637669564,0.0020857362186334073
household_size,0.018266521208941122,0.01828491936859694,0.0010329341177002845
WCRex2_No confidence at all,0.01763641755824765,0.017507125220493622,0.0018736385029503645
vaccination_status_2,0.014355227202498268,0.01433683256457211,0.0011662088203060203
WCRex1_Somewhat well,0.01070865725413985,0.010649445858653302,9.610249981826329e-4
r1_2,0.009613776442730369,0.009644670221168404,4.037349208313486e-4
cantril_ladder,0.009568195575655166,0.009576872704956607,3.7892518745842406e-4
vaccination_status_3,0.009388447370985417,0.009311207396667132,7.424003821308069e-4
i11_health_Somewhat unwilling,0.008492992584549991,0.00854970285315741,9.076269649970567e-4
i11_health_Somewhat willing,0.00822581010320484,0.008201877516311497,5.342755085703668e-4
region_South,0.005459916360694677,0.005428572487440931,4.473752772675442e-4
employment_status_Retired,0.004373996655444187,0.004329558183716135,4.628259629045279e-4
vaccination_status_1,0.004244211090518526,0.00427188939905345,4.1933085380470525e-4
employment_status_Not working,0.00385783754219926,0.0038360921090251914,3.5835520352518383e-4
region_Islands,0.0038040461840236858,0.003776669180679219,3.025677924391891e-4
region_North east,0.003704939156789016,0.003646631374813105,3.368828177805994e-4
hl_covid_num,0.0034813562640472026,0.003502655539217128,1.986466408393647e-4
PHQ4_2_Not at all,0.0033941191003512288,0.0033934284293210114,2.6580490449307155e-4
d1_comorbidities_Yes,0.003263834628940362,0.003258246850802031,2.4493731786500843e-4
vl_num,0.0029913870975905544,0.002976045320100429,1.5159344155354625e-4
PHQ4_4_Nearly every day,0.0028576390430738014,0.002854664372498881,2.6008265997541446e-4
PHQ4_1_Several days,0.0027561304007933706,0.0027527085414772064,2.2511091757895937e-4
PHQ4_3_Not at all,0.0026531678002502863,0.002629788816534046,2.2997451041771033e-4
PHQ4_4_Not at all,0.002535033473454665,0.0025190517080494494,2.2881974893219911e-4
PHQ4_1_Not at all,0.002451716105217762,0.002466197618144369,1.7517145368220664e-4
PHQ4_2_Several days,0.002419301656953495,0.002420723727408484,1.8030744299700062e-4
WCRex2_A lot of confidence,0.0022624187619239085,0.0022397345679845007,1.530033489783913e-4
region_North west,0.0022196307011283518,0.002209786967672266,1.627047827762135e-4
WCRex1_Somewhat badly,0.0021866476555050134,0.0021999827102325903,1.4840336793405418e-4
WCRex1_Very well,0.0021755639170805245,0.00219749490257624,1.480781489332795e-4
WCRex2_Not very much confidence,0.0022071970707745526,0.0021892073047422205,1.4725822731680692e-4
PHQ4_4_Several days,0.0020878218625526475,0.0020722992841956276,1.305466256691947e-4
PHQ4_3_Several days,0.0020333283559492185,0.0020346399060096115,1.3425665825439362e-4
PHQ4_3_Nearly every day,0.0020404956891784502,0.0020291367627394375,1.485395630823905e-4
employment_status_Full time student,0.0016758831873012476,0.0016823679409515787,1.58902912787622e-4
employment_status_Part time employment,0.0016737383116068383,0.0016761908982267353,1.1204488461611261e-4
PHQ4_2_Nearly every day,0.0016115933941837433,0.0016050841415042052,1.2795322049490802e-4
employment_status_Unemployed,0.0015975545513182846,0.0016020608288613907,1.1828041733960969e-4
PHQ4_1_Nearly every day,0.0015276353331382174,0.001515906641718666,1.1597349686401095e-4
i11_health_Not sure,0.0012772768516750809,0.001252751982303523,2.1179784263404582e-4
WCRex2_Don't know,0.0012132636339215147,0.0012198495600806783,1.518942188284386e-4
d1_comorbidities_Prefer_not_to_say,0.0010470168922808855,0.0010457838607192845,1.0318602958005345e-4
PHQ4_1_Prefer not to say,0.0010388563035502367,0.0010275974445992883,1.6863129754798897e-4
employment_status_Other,0.0010158524119942222,0.001013555364913362,1.0560402290046986e-4
PHQ4_3_Prefer not to say,0.00101473936398506,0.0010008586931910758,2.0792621169389724e-4
PHQ4_4_Prefer not to say,7.982585620150924e-4,7.768689841538151e-4,1.1307574908579158e-4
PHQ4_2_Prefer not to say,7.557001634333321e-4,7.582349245751487e-4,1.206489772498984e-4
