feature,mean_importance,median_importance,sd_importance
i11_health_Very willing,0.16794263540899776,0.16884051051959614,0.008474845655898029
i9_health_Yes,0.1578498248307917,0.15811434129736257,0.007849234907503859
r1_1,0.15325778540982452,0.15399051066830022,0.006158220421274532
i2_health,0.10077836586215695,0.10057180709180105,0.003823208358833007
week_number,0.09588649794791096,0.09569779344469559,0.003541825941408024
age,0.036583690737765635,0.03676084417642354,0.0013827789638791105
i9_health_Not sure,0.025626824210531068,0.025534156651010186,0.0025212809367998576
gender_Male,0.024496162266719107,0.024395577490653186,0.0017179319842817184
i11_health_Very unwilling,0.02232851569040056,0.02211965164400759,0.0025548688547255972
WCRex1_Very badly,0.020969034331994485,0.021005406014080904,0.0020179845130205835
household_size,0.018412048047273748,0.01823805246459935,0.0011061876105210341
WCRex2_No confidence at all,0.0174079010877922,0.01735622909188577,0.0015000087590329384
vaccination_status_2,0.01454113854450325,0.014569051328677677,0.001117383038871603
WCRex1_Somewhat well,0.010722522803802913,0.010591897309689045,0.001229183100905142
r1_2,0.009624181419161795,0.009560762529976837,4.06522919612661e-4
cantril_ladder,0.009556018394262863,0.009536719496338953,3.650636503542116e-4
vaccination_status_3,0.009519072873213153,0.00948866272605393,6.98978852034018e-4
i11_health_Somewhat unwilling,0.008328902024217828,0.008160758370674441,9.167463703365323e-4
i11_health_Somewhat willing,0.008130947934838805,0.008099192014233985,6.086063476415203e-4
region_South,0.005465089683322781,0.005437194562727794,4.877837511456577e-4
vaccination_status_1,0.004308511410504619,0.004370857160231828,4.489298711109498e-4
employment_status_Retired,0.004390691030148666,0.0043481811743413664,4.841669011312889e-4
region_Islands,0.0037874838555431744,0.003758482436643606,3.2778368575693556e-4
region_North east,0.003799246074383649,0.0037545047422685297,4.2863899781330937e-4
employment_status_Not working,0.003775779377153601,0.003723471766923621,4.4219738919322937e-4
hl_covid_num,0.0034665568700881465,0.0034572435567998246,1.633907410896617e-4
PHQ4_2_Not at all,0.003454073939380764,0.003452348086080772,2.860379237613064e-4
d1_comorbidities_Yes,0.0032522967495216873,0.0032552990205237785,2.4048545421771102e-4
vl_num,0.0031793751028048704,0.0031542328120103633,1.5430158552741263e-4
PHQ4_4_Nearly every day,0.002849464956491082,0.0028261721492714347,2.1107311519629165e-4
PHQ4_1_Several days,0.002768110884022674,0.002776688649777319,1.9196774199445392e-4
PHQ4_3_Not at all,0.002647554218635933,0.002629979458754895,2.464882863988e-4
PHQ4_4_Not at all,0.002570136460465275,0.0025666114929575046,2.3066451388350595e-4
PHQ4_1_Not at all,0.0024740065499889935,0.0024668498971439773,1.7522339515730105e-4
PHQ4_2_Several days,0.0024014912822008577,0.0023762858540923503,1.9843969370075189e-4
WCRex2_A lot of confidence,0.0023178117847692595,0.002333655837754435,0.00015882595260214669
WCRex1_Somewhat badly,0.002226751796259671,0.0022235495264439145,1.5053942872024964e-4
WCRex2_Not very much confidence,0.0022169236503484704,0.0022086054595273695,1.244650044683797e-4
WCRex1_Very well,0.002181012141219036,0.0021821488938602775,1.3301564674394326e-4
region_North west,0.0021894545179828805,0.0021712084470859065,1.8137208648802148e-4
PHQ4_3_Nearly every day,0.0020811941306648663,0.0020920524127069277,1.3022791620491872e-4
PHQ4_4_Several days,0.002101139352538283,0.002077182693937906,1.390411429176582e-4
PHQ4_3_Several days,0.002023084149569609,0.0020098784935908528,1.391140024033734e-4
employment_status_Part time employment,0.0016672793773560282,0.001667829806273823,1.0699252819347776e-4
employment_status_Full time student,0.0016511240898417978,0.001663279163983523,1.4318143309164253e-4
PHQ4_2_Nearly every day,0.001607604294368284,0.001613167774803714,1.0918971196894798e-4
employment_status_Unemployed,0.0016024772483790523,0.0016023270837271506,1.2356090649800412e-4
PHQ4_1_Nearly every day,0.0015238021689610321,0.0015284285173814962,1.0708995224783583e-4
i11_health_Not sure,0.0012560006115301086,0.0012547122204264263,1.9899557445493188e-4
WCRex2_Don't know,0.0012168657965084522,0.0012337806512667268,1.5622915777870693e-4
d1_comorbidities_Prefer_not_to_say,0.0010816855772079255,0.0010824809900125405,9.905377116617763e-5
employment_status_Other,9.994122165710617e-4,0.001001275579840984,1.1612520470413681e-4
PHQ4_1_Prefer not to say,0.0010020388886218174,9.914346343161487e-4,1.4204416019186815e-4
PHQ4_3_Prefer not to say,9.852078629116099e-4,9.837247183479723e-4,1.5577194549770058e-4
PHQ4_4_Prefer not to say,7.700174955523293e-4,7.642115439612141e-4,1.1101779465946095e-4
PHQ4_2_Prefer not to say,7.471745780223549e-4,7.517312257417297e-4,1.1836885020429182e-4
