feature,mean_importance,median_importance,sd_importance
r1_1,0.1708988170387924,0.17058042162318893,0.005969216117034297
i11_health_Very willing,0.1640613616576156,0.16452225853532493,0.010991141195071741
i9_health_Yes,0.1593114981329411,0.15975165443185535,0.010211112711732829
week_number,0.14894963422918997,0.1487446695410532,0.005530230759033427
i2_health,0.123583024132609,0.12280627278639225,0.004934246145924751
age,0.048106480558600964,0.04800956792846335,0.0025790379147094564
gender_Male,0.02489466242216358,0.02487808706498809,0.0017061661903656174
household_size,0.02412363019563938,0.024043761447399628,0.0018094022555582784
WCRex1_Very badly,0.012687428274583959,0.012386739041998107,0.001759226974953395
cantril_ladder,0.009436786511873085,0.009469937252223842,9.951830696954304e-4
region_South,0.00929882487749225,0.009249450918793905,8.444676445242449e-4
WCRex2_No confidence at all,0.009021172107776814,0.008733274822349705,0.0018232020754255598
WCRex1_Somewhat well,0.0071480247512896436,0.007234706008259751,9.986285797668438e-4
r1_2,0.007009642242164705,0.007211503418283555,9.755643545947163e-4
region_Islands,0.00631191277387638,0.006262232060321038,7.300886411664854e-4
i11_health_Very unwilling,0.005921620248709476,0.005379301757659832,0.001976739478578069
i11_health_Somewhat willing,0.005106262974015736,0.005056297620710649,9.139116772827495e-4
vaccination_status_1,0.005020440660318052,0.00496866324325484,9.132408698423515e-4
vaccination_status_2,0.005051033223726122,0.0047964795976233755,0.0022736701827091635
PHQ4_4_Nearly every day,0.00439213990827843,0.004394727094349205,5.780869530289754e-4
PHQ4_2_Not at all,0.004136243162570404,0.004063282312481405,7.834470714364965e-4
PHQ4_1_Several days,0.004002569747764792,0.004008841351293776,6.536277674959968e-4
region_North east,0.0030718522686313454,0.003088565724428837,7.018836808931998e-4
PHQ4_1_Not at all,0.0028352612320018808,0.0027967982893714327,5.720004165679868e-4
d1_comorbidities_Yes,0.0027071066129279375,0.0026665183160130496,4.863272635568561e-4
employment_status_Not working,0.0025684552028802303,0.0025729733460398696,5.554553015449152e-4
i9_health_Not sure,0.0031593046146591074,0.0023388482699096603,0.002592053168319089
PHQ4_2_Several days,0.0023126698978080526,0.002259733831873193,6.247996320506879e-4
PHQ4_3_Prefer not to say,0.0022796827702476824,0.0022203524060941905,6.010404539201681e-4
vl_num,0.002278297368207455,0.0021594446029724783,5.56723360511303e-4
region_North west,0.001703036770583812,0.0016251187751828646,5.418637825217717e-4
PHQ4_3_Not at all,0.001596845332393428,0.0015939031946615207,4.6698008203041255e-4
hl_covid_num,0.0014128993829556197,0.0014064704239151727,4.49795415143949e-4
PHQ4_4_Several days,0.0012126252751933709,0.0012019116104156002,4.617966917614958e-4
PHQ4_3_Several days,0.001114013037963044,0.00107022836804763,4.148971091719737e-4
WCRex2_Not very much confidence,0.001061095131483584,0.0010394246419364673,4.252274458964707e-4
PHQ4_3_Nearly every day,0.001073411425757722,0.0010326569330428382,4.068606646170942e-4
WCRex2_A lot of confidence,0.0010033699002128336,0.001009305019195242,3.440399832663989e-4
employment_status_Retired,0.0010044270270671183,9.58452322664258e-4,5.267031736290156e-4
WCRex1_Very well,8.566946425909301e-4,8.190073537836296e-4,3.580988367711249e-4
PHQ4_4_Not at all,8.213883233146173e-4,7.813409324339017e-4,3.492106381789508e-4
PHQ4_2_Nearly every day,6.892346929509225e-4,6.721180777714765e-4,3.418353440300231e-4
PHQ4_1_Nearly every day,6.296293072621642e-4,6.456564233510821e-4,2.930112461755099e-4
employment_status_Part time employment,5.763751646844625e-4,5.844254821256239e-4,2.6135439252112573e-4
PHQ4_2_Prefer not to say,6.25375845393928e-4,5.624158008702833e-4,4.1919599387071145e-4
employment_status_Unemployed,6.25619551892953e-4,5.484759452907353e-4,3.229770754105317e-4
employment_status_Other,5.769598673160475e-4,5.378046630159295e-4,2.9302360505137305e-4
vaccination_status_3,7.284142172230153e-4,4.6516480935932664e-4,7.961396918870078e-4
WCRex2_Don't know,5.082613647052757e-4,4.5609522746124613e-4,2.753967424596885e-4
WCRex1_Somewhat badly,4.572715124651264e-4,4.4297889258944264e-4,2.39939707859155e-4
employment_status_Full time student,4.3597244874819064e-4,3.70792472572436e-4,2.7790176534990817e-4
PHQ4_1_Prefer not to say,4.145152493042232e-4,3.327159316089581e-4,3.0980895890072007e-4
i11_health_Somewhat unwilling,4.359752607008833e-4,2.970195989849228e-4,5.239253091502414e-4
d1_comorbidities_Prefer_not_to_say,3.4746401551161843e-4,2.930533476039188e-4,2.4280573845456948e-4
PHQ4_4_Prefer not to say,2.2802977717841015e-4,1.7659564318200688e-4,1.925308459566197e-4
i11_health_Not sure,1.7525567579114142e-4,1.514702139827109e-4,1.214536715219728e-4
