feature,mean_importance,median_importance,sd_importance
i11_health_Very willing,0.2250224607789044,0.22696336956383473,0.011997050725661287
i9_health_Yes,0.15798484980740687,0.1572941275440085,0.009222700549890996
r1_1,0.05572965387837254,0.055756208820752655,0.002882043642724013
household_size,0.052547860508252046,0.052621966497377236,0.0029659048616742134
gender_Male,0.05074309750437391,0.05066356747492713,0.0034500413655679635
age,0.04566930381454694,0.04563700795348048,0.001821548399595566
week_number,0.032790031946226594,0.03267472103521286,0.0012205719973594092
i11_health_Very unwilling,0.029512722447417334,0.0294899161833088,0.002589779659656477
i2_health,0.025748222005011097,0.025679493145756054,0.0010660399609810638
vaccination_status_2,0.022669449053475014,0.022598283592008002,0.0017628376009066627
i11_health_Somewhat unwilling,0.01913742713123435,0.019176272093056883,0.0017449836953068495
cantril_ladder,0.01623362874867381,0.01623171233129884,6.198830127581334e-4
r1_2,0.015608524116039676,0.01565069027491498,5.51890260960172e-4
vaccination_status_1,0.015523647138868427,0.015376883849265388,0.001286635652496939
WCRex1_Somewhat well,0.014170560202536979,0.01388484738394441,0.001503560071077698
PHQ4_1_Not at all,0.013816606550250712,0.01371275834359251,0.001051683616648285
WCRex2_No confidence at all,0.013584434777570577,0.013665237102510048,0.001456398242540177
WCRex1_Very badly,0.013518352070526582,0.013516211426541086,0.0012247245519938653
i9_health_Not sure,0.013010546580047785,0.012876273214475157,0.0014472681654397986
PHQ4_2_Not at all,0.01166427818669845,0.011731683188284107,7.626089609034422e-4
i11_health_Somewhat willing,0.011622407412691734,0.011612759774993587,8.01963400640115e-4
PHQ4_1_Several days,0.009424773009356006,0.009498318239853606,7.278815700298741e-4
PHQ4_3_Several days,0.008788393577657328,0.00878806603496736,7.508408935942697e-4
WCRex2_A lot of confidence,0.008146369879574268,0.008113001705598808,7.015052745507282e-4
PHQ4_2_Several days,0.006955102549438007,0.007013196804959155,4.97641159806545e-4
d1_comorbidities_Yes,0.005770763452112784,0.005804491464214323,3.832468852628735e-4
hl_covid_num,0.005776910965919508,0.005769556123212791,2.9063399149443895e-4
PHQ4_4_Several days,0.005674876590610991,0.005702929332854642,3.743571615596336e-4
vl_num,0.005638585058293285,0.005629606591079729,2.4530527762845936e-4
PHQ4_1_Nearly every day,0.0056050745641978384,0.005597627917556676,4.454756177341447e-4
PHQ4_4_Not at all,0.005552879741633803,0.005591434018175025,4.074930403326937e-4
PHQ4_4_Nearly every day,0.005197439609135521,0.005212343868728786,3.564424784582565e-4
vaccination_status_3,0.004639381597568866,0.004658021842070887,2.725805631737557e-4
PHQ4_3_Nearly every day,0.004481221978316756,0.004464486506297494,2.967888854927645e-4
PHQ4_3_Not at all,0.00401371967830404,0.0040162551504863645,3.358754574160658e-4
region_South,0.0039616952602106684,0.003975058223070732,2.8528948624340333e-4
region_North west,0.003872728174782843,0.0038428369922200523,2.592202444956935e-4
WCRex2_Don't know,0.0037241818958839183,0.0037117149590770687,3.717900717672036e-4
employment_status_Retired,0.003627469148946768,0.0036206987071120936,2.6626231899694775e-4
WCRex1_Somewhat badly,0.0035473810228087077,0.0035750780974505205,2.6980286012800796e-4
region_North east,0.003602994605735755,0.003563296557767901,2.3558115851281088e-4
WCRex2_Not very much confidence,0.0035514391477345095,0.0035244340812700327,2.6980563696176916e-4
employment_status_Part time employment,0.003453934081566528,0.0034650936737665155,2.4104956287670864e-4
employment_status_Unemployed,0.0034514466227936378,0.003443426948207029,2.6018723920557315e-4
PHQ4_2_Nearly every day,0.00337655747937299,0.00336766248494958,2.63763850961949e-4
WCRex1_Very well,0.0029564298503957907,0.002952113608920605,2.5683564504419315e-4
region_Islands,0.0028323252256396165,0.0028050936189016086,1.8379973264850375e-4
employment_status_Not working,0.0026372150763578194,0.0026251289395125095,2.2009429579603689e-4
i11_health_Not sure,0.002594484927542907,0.002567059389483925,3.45562897084905e-4
employment_status_Full time student,0.0020150748843415565,0.002002720114913885,1.4531632227375707e-4
PHQ4_1_Prefer not to say,0.001999017756756536,0.00197674278710825,2.874676520907108e-4
employment_status_Other,0.0017027663179726988,0.001688638792261193,1.5451154761607624e-4
PHQ4_3_Prefer not to say,0.0014975164792299437,0.0014818925812487215,2.392116952498024e-4
PHQ4_2_Prefer not to say,0.0014228643017859747,0.0014053954897754089,2.3474501204276003e-4
d1_comorbidities_Prefer_not_to_say,0.0011395753018648184,0.0011483816427518144,1.1016226824402288e-4
PHQ4_4_Prefer not to say,0.0010593455270311804,0.0010588417530962351,1.3698091016551813e-4
