feature,mean_importance,median_importance,sd_importance
i11_health_Very willing,0.2795792699323231,0.27941842170092024,0.01740338201667385
i9_health_Yes,0.12978928764521008,0.12847447710011617,0.011983343849230258
age,0.06740618054726061,0.06664011604201615,0.0037061951418920452
r1_1,0.05834180755586549,0.058555293235022454,0.0038127672463139275
household_size,0.057238279436293844,0.057064784478377754,0.0034918358821449023
week_number,0.04975473717286519,0.04973732223768779,0.00318250545675493
gender_Male,0.04594282080471556,0.04570413279388712,0.002833511535744517
i2_health,0.03288569253727457,0.03286653065244616,0.0023692376137525086
vaccination_status_2,0.02584356690398461,0.025696209911155884,0.0021831599447356695
PHQ4_1_Not at all,0.017892312993472315,0.017823139104173845,0.0017722687543594929
cantril_ladder,0.016599259377876572,0.016748402506239372,0.0018378959828211023
r1_2,0.016350701462369766,0.016340280091409445,0.0020721088967174655
i11_health_Very unwilling,0.014679862901919031,0.014021847426423126,0.0031022214301068525
PHQ4_1_Several days,0.013439568275148184,0.013423669019969092,0.0018374999467685054
vaccination_status_1,0.013328222721239109,0.013415164523234359,0.001772920277534061
PHQ4_2_Not at all,0.012110948095881124,0.012222354449687164,0.0015726570949905186
WCRex1_Very badly,0.01206771485769729,0.012048917742560183,0.0020986180008047118
i11_health_Somewhat willing,0.011157735248263452,0.010989765757923781,0.0013831228454482176
PHQ4_4_Nearly every day,0.010596220394859536,0.010694470551570709,0.00093448585018227775
WCRex1_Somewhat well,0.008745451825554048,0.0086703249808795,0.0015735821726490496
WCRex2_A lot of confidence,0.008673149037556711,0.00866016078578584,0.0010073045249505037
d1_comorbidities_Yes,0.00853086939674606,0.008448063060853887,0.0014448465157885213
PHQ4_3_Several days,0.00712327428696432,0.007073711946503193,0.0010777387603173984
PHQ4_2_Several days,0.006619600511978336,0.006494736590936464,0.0012067003650181425
PHQ4_1_Nearly every day,0.006362121657956878,0.006266051609170431,0.0012563772133825746
PHQ4_4_Several days,0.005796627404927344,0.005695233141251699,0.001186367005568669
PHQ4_3_Nearly every day,0.005033522792190649,0.005003265814636883,0.001127572230502052
employment_status_Not working,0.004440791784034898,0.0043685032101492775,8.104814824955573e-4
PHQ4_4_Not at all,0.004211944468307217,0.004314850082147933,0.0010361062548676927
i9_health_Not sure,0.004314870892745035,0.004063548476033308,0.0012168802560347963
WCRex2_Don't know,0.0035895792951419867,0.00353338058850346,7.491951097851209e-4
hl_covid_num,0.0034179169445801047,0.0034657668465374906,7.48365869041824e-4
vl_num,0.003207280921603538,0.0030681801193392175,9.287173201623377e-4
region_North east,0.0030250154334516203,0.003004158014270594,9.179792062169741e-4
WCRex2_No confidence at all,0.003085309945060717,0.0029669842666039006,0.001134676765019819
region_South,0.0028175852285035373,0.0027661951900469833,6.969972565306509e-4
employment_status_Retired,0.002498779185827322,0.002393253124582794,9.085705283963026e-4
WCRex2_Not very much confidence,0.0024312290025008975,0.0023847833059990105,7.612085166546329e-4
region_North west,0.0023368039454500418,0.002306855003569861,7.091034702036816e-4
WCRex1_Very well,0.002224680324727129,0.0022523741879446365,6.818668818912416e-4
PHQ4_2_Nearly every day,0.0021603242121967497,0.0020594864264175438,7.459037302128494e-4
employment_status_Part time employment,0.002081573731852817,0.0019109558704733186,7.555024826333409e-4
PHQ4_3_Not at all,0.001634266804308891,0.001621662550227125,6.901982260049082e-4
i11_health_Somewhat unwilling,0.00204574759613552,0.0014829327932769872,0.0016898064134044416
vaccination_status_3,0.001213203498147317,0.0011837957380466497,7.631815485505399e-4
employment_status_Full time student,0.0011437040602296968,0.0011294576125452066,3.704478494853014e-4
employment_status_Unemployed,0.0011795054251473882,0.0011057613250908009,4.971465969859307e-4
employment_status_Other,9.649091519536017e-4,9.280379511348967e-4,4.2678092884429155e-4
region_Islands,8.650243218223561e-4,8.000323004717365e-4,4.156026300711102e-4
WCRex1_Somewhat badly,8.382983041969074e-4,7.632837739456023e-4,4.988973212663405e-4
i11_health_Not sure,8.078057767007475e-4,7.564458903506453e-4,4.8585892986977914e-4
PHQ4_3_Prefer not to say,4.453119078169963e-4,3.9379776169202384e-4,3.7847749685541613e-4
d1_comorbidities_Prefer_not_to_say,4.045741423948059e-4,3.4361784466254775e-4,2.7787039941560085e-4
PHQ4_1_Prefer not to say,3.471301293820578e-4,3.282443727109865e-4,2.4456532039165974e-4
PHQ4_2_Prefer not to say,3.452079516090314e-4,3.019024739364875e-4,2.8620982660577726e-4
PHQ4_4_Prefer not to say,3.281983577725371e-5,0,7.742491562497605e-5
