feature,mean_importance,median_importance,sd_importance
i11_health_Very willing,0.22268993514591348,0.22249582129442336,0.010828222658022848
i9_health_Yes,0.15839674389140135,0.15792271237455147,0.008791060908773062
r1_1,0.055764875915234956,0.05552661136562209,0.0028693960559282184
household_size,0.05304254263564188,0.053372622012769516,0.0028687386131513986
gender_Male,0.05106819998713359,0.05122467523056355,0.003351402501918039
age,0.046452026233793846,0.04639802942030501,0.0020954522239346692
week_number,0.03302705125949347,0.03302565235115554,0.0012125977256065806
i11_health_Very unwilling,0.029200818866817586,0.029180207028316862,0.0026581450615310114
i2_health,0.025768416750340264,0.025621441460895247,9.699723907906702e-4
vaccination_status_2,0.022429035826316626,0.02240852125651576,0.0015652526336099465
i11_health_Somewhat unwilling,0.019431052266453273,0.019337114421345072,0.0019540656743395578
cantril_ladder,0.016274261255548955,0.01625641148728902,5.457209619626079e-4
r1_2,0.015744069509728547,0.01581299017757321,5.212796094021405e-4
vaccination_status_1,0.01556706200511503,0.01553875517055402,0.0012603824807911894
WCRex1_Somewhat well,0.013815232495006081,0.013867199513063519,0.0013706462603418103
PHQ4_1_Not at all,0.013753939028325056,0.01381113445202065,9.511234537536536e-4
WCRex1_Very badly,0.013501423829438801,0.013668962635066107,0.0011291811184648292
WCRex2_No confidence at all,0.013683966716520172,0.013643805263010081,0.0017556644358672695
i9_health_Not sure,0.01313913216647266,0.013081332125961808,0.001360113236021811
PHQ4_2_Not at all,0.011796885227162272,0.011884222439295843,9.749073714146464e-4
i11_health_Somewhat willing,0.01157215462707015,0.011644358429521419,8.331887267815279e-4
PHQ4_1_Several days,0.00950862406109829,0.009515742630573407,8.856588252075334e-4
PHQ4_3_Several days,0.00875906013360115,0.008702913089124933,7.465389384255847e-4
WCRex2_A lot of confidence,0.00815725507315581,0.008138251080793031,6.715556600331025e-4
PHQ4_2_Several days,0.0069506129770171956,0.006966096852976512,5.250803115090987e-4
hl_covid_num,0.0058815365991651564,0.00586138279981318,2.979947514491395e-4
d1_comorbidities_Yes,0.005858068559357073,0.005831322886555541,4.06384398516652e-4
PHQ4_4_Not at all,0.005628953236143374,0.005630602064140622,3.6802533229667457e-4
PHQ4_1_Nearly every day,0.005614720756649491,0.005626145186435045,5.260791819817425e-4
vl_num,0.00561684430921983,0.005625528076691276,2.660374599703448e-4
PHQ4_4_Several days,0.005641935191819396,0.0055648041029675,3.8599537462101886e-4
PHQ4_4_Nearly every day,0.0051643298568529025,0.005132367814341026,3.5294236191563464e-4
vaccination_status_3,0.004592516548427808,0.004610731258479257,3.257994680732478e-4
PHQ4_3_Nearly every day,0.004515556456901513,0.004539390104632811,2.7496313605864425e-4
PHQ4_3_Not at all,0.004006081213401608,0.003970078708713976,2.999197735032401e-4
region_South,0.003937047792364981,0.003924502956187849,2.4034710927081394e-4
region_North west,0.0038390321079732836,0.003832218722526411,2.286020083499796e-4
WCRex2_Don't know,0.003697853189301956,0.0036730083909792656,4.69683748527306e-4
region_North east,0.0036315307220398454,0.003605519891447703,2.3785872214824086e-4
employment_status_Retired,0.003607998797351008,0.0036023270916955502,2.72372522118575e-4
WCRex2_Not very much confidence,0.00357690025427693,0.00356485957996996,2.3883555843170847e-4
WCRex1_Somewhat badly,0.0035523438199155373,0.0035432209181372847,2.2470198528333265e-4
employment_status_Part time employment,0.003483952297221588,0.0035156831576464783,2.0352037465318286e-4
employment_status_Unemployed,0.0034252629693247902,0.003404702400987602,2.4331568953645354e-4
PHQ4_2_Nearly every day,0.003352247190912284,0.003340965012294926,2.814946977758829e-4
WCRex1_Very well,0.0029710637145224463,0.0029733288982476186,2.894484112872265e-4
region_Islands,0.0028151749072416613,0.002802183968274456,1.934177860373202e-4
employment_status_Not working,0.0026384852826244524,0.0025932784852293078,2.4843219747479794e-4
i11_health_Not sure,0.0025333251322721935,0.0025684740692541873,2.978852652573515e-4
PHQ4_1_Prefer not to say,0.0020401822318556802,0.0020560337659521442,3.014759392303723e-4
employment_status_Full time student,0.00201901452028087,0.0020067113157447563,1.7146644908637388e-4
employment_status_Other,0.0017292208887161231,0.0017298150292866968,1.6013955892339637e-4
PHQ4_3_Prefer not to say,0.0015063021945839045,0.0015052127429133117,2.6196699188243836e-4
PHQ4_2_Prefer not to say,0.0014327745562984745,0.0014054415030125742,1.879644657755539e-4
d1_comorbidities_Prefer_not_to_say,0.001140306482832555,0.0011183661080947204,1.1608765009176799e-4
PHQ4_4_Prefer not to say,0.0010550603363507886,0.0010451102066344753,1.29622446362514e-4
