hl_measure,term,OR,OR_lower95,OR_upper95,Q_bar,pooled_se,z_stat,p_value,n_draws
HL_COVID,age_group30-44,0.9650071384527894,0.8890800058621462,1.047418422554462,-0.03561978031010794,0.04181034278671758,-0.8519370551877831,0.39424902889262636,20
HL_COVID,age_group45-64,1.1275928155487338,1.0461229836419463,1.2154073446036646,0.12008510878375696,0.03826233411680655,3.138467936042881,0.0016983351480837287,20
HL_COVID,age_group65+,1.5981660945531022,1.4579622423891492,1.751852545641839,0.46885678096226047,0.046845430899774845,10.008591488151174,1.3972764682872825e-23,20
HL_COVID,hl_covid_num,1.003578414610831,0.9626588816384837,1.0462373053251703,0.0035720273183196703,0.021238868331215476,0.16818350500670237,0.8664389172022555,20
HL_COVID,region_hls19North East,0.8973655132048212,0.830354179358873,0.9697848030476672,-0.10829201585907972,0.039597413894530906,-2.7348254648023045,0.006241335994708336,20
HL_COVID,region_hls19North West,0.9411591753930064,0.8759996336061501,1.0111654839169617,-0.060642998130208924,0.036605412333389625,-1.6566675326012765,0.09758671059441185,20
HL_COVID,region_hls19South and Islands,0.9577413700857625,0.893997145794005,1.0260307164169749,-0.04317750605459515,0.03514040325677534,-1.2287140172835154,0.219179048801007,20
VL,age_group30-44,0.9647976246013545,0.8889259837707232,1.0471450643032416,-0.03583691507551958,0.04178795393344145,-0.8575896090198506,0.39111911479138245,20
VL,age_group45-64,1.1274310557029632,1.046068980444617,1.2151213821704514,0.11994164258979749,0.038215475629432435,3.138562077647464,0.0016977896900961338,20
VL,age_group65+,1.598190541422452,1.4581222172263204,1.75171393489284,0.4688720776716922,0.046797256296050575,10.019221526695837,1.2548743015738895e-23,20
VL,region_hls19North East,0.8971085772276927,0.8301659926075163,0.9694492505139126,-0.10857837940175122,0.039566952904031574,-2.7441683382873765,0.006066442041886881,20
VL,region_hls19North West,0.9410366529513748,0.8759064990028818,1.0110097175965957,-0.06077318909117008,0.03659323517825496,-1.6607766106256636,0.09675832032649606,20
VL,region_hls19South and Islands,0.9570643068376763,0.8933444122789477,1.025329172973736,-0.04388469350913788,0.035152244340977565,-1.2484179696595006,0.21187803168086947,20
VL,vl_num,0.9929835497623677,0.9539273107073711,1.0336388517564365,-0.007041181275225061,0.02047276703501393,-0.3439291456393144,0.7308995723961911,20
