feature,mean_importance,median_importance,sd_importance
i11_health_Very willing,0.27648080838464273,0.2795996736788061,0.01933633219460017
i9_health_Yes,0.132248925148781,0.129232551085575,0.014887288707714242
age,0.0668353210603029,0.0667705807065343,0.0038342789205816465
r1_1,0.058558284538663574,0.05862153428477248,0.004170014030039853
household_size,0.056759357381443616,0.05701210106822788,0.0035892047532945204
week_number,0.050825266346619394,0.05081749583775112,0.0040468310415437475
gender_Male,0.04546015102760915,0.04480297359022027,0.0031484447402447885
i2_health,0.032889837646346856,0.03260806461636351,0.0024233212726151414
vaccination_status_2,0.02575391986932917,0.025637464033973507,0.0021204551457853775
PHQ4_1_Not at all,0.01767521109143659,0.017465232929012968,0.0018158573756765271
cantril_ladder,0.016341140763386424,0.016448011419858646,0.001777404619122239
r1_2,0.016388754034150854,0.015981997527552295,0.0019319652221950257
i11_health_Very unwilling,0.014583227438525888,0.014181709091346903,0.003736970200214425
PHQ4_1_Several days,0.013739261611801683,0.013779719715129958,0.0017250759757668598
vaccination_status_1,0.013010461954400683,0.01297120993964127,0.0014818438133264826
PHQ4_2_Not at all,0.012442758663204451,0.012469775217447647,0.001738265905924332
WCRex1_Very badly,0.01216490880675819,0.012174338010086565,0.00213508238665879
i11_health_Somewhat willing,0.0118283562992613,0.011754329213149525,0.0014772581341735312
PHQ4_4_Nearly every day,0.01053074646803402,0.010404941171484376,0.0010398333060911025
WCRex2_A lot of confidence,0.008844278109051498,0.008781247364494791,9.677040889771806e-4
WCRex1_Somewhat well,0.008579218875719509,0.008520526340719103,0.00175289563125824
d1_comorbidities_Yes,0.00819043304431542,0.008100787679131163,0.0011388059388219363
PHQ4_3_Several days,0.007176868426130242,0.007083024543943509,0.0011404642093115966
PHQ4_2_Several days,0.006999795503538626,0.006877646669191507,0.001353356989402497
PHQ4_1_Nearly every day,0.006279758000548089,0.006250198548063245,0.0011745427147769234
PHQ4_4_Several days,0.005563818693041716,0.0056167844916118195,0.0010147014986832607
PHQ4_3_Nearly every day,0.004902184283505578,0.00476434758559151,0.0010628555092066008
employment_status_Not working,0.004508216027788211,0.0044368840156435285,7.287357349634977e-4
vl_num,0.004271815959152644,0.004334108581658778,7.418874663541257e-4
i9_health_Not sure,0.004172988719338832,0.004180216620733037,8.977150852757922e-4
PHQ4_4_Not at all,0.004179018470134122,0.004148536771023699,0.0010289452015614998
WCRex2_Don't know,0.0035890901387656353,0.0035495509604325155,6.667545520458594e-4
WCRex2_No confidence at all,0.003487419295279049,0.003226133701473989,0.0011791276138299611
region_North east,0.0029788610465350737,0.0028947720064602727,8.552341748960854e-4
region_South,0.0026872740425318855,0.0025836783146710738,7.269244957308042e-4
employment_status_Retired,0.0025970697098870164,0.0025764400576124926,8.687458420318917e-4
WCRex2_Not very much confidence,0.0024613780101035887,0.0023683386592200867,6.148349472663041e-4
WCRex1_Very well,0.002337738935289482,0.0022994091750855217,7.767269158661266e-4
region_North west,0.0023419838867631067,0.0022733324078602697,7.955728066365681e-4
hl_covid_num,0.0021383456797609826,0.002148785743386122,6.570663829845459e-4
PHQ4_2_Nearly every day,0.002145909033565107,0.0021122413969361714,6.63432708879637e-4
employment_status_Part time employment,0.0020071953252595674,0.0019286265081496076,6.643147956386799e-4
i11_health_Somewhat unwilling,0.002278676739116161,0.0015308708080483612,0.00223381109181142
PHQ4_3_Not at all,0.00157250798880513,0.0014514753614109374,6.834031243866195e-4
vaccination_status_3,0.0012990077948329866,0.0011850328216518647,7.561125290985828e-4
region_Islands,0.0012949110574916418,0.0011693501770463355,5.67811710220206e-4
employment_status_Full time student,0.0011172142384923331,0.0011304260170475918,3.6145518894208046e-4
employment_status_Unemployed,0.001118407478034473,0.0010723622006233882,5.34389233624281e-4
employment_status_Other,0.0010659037907288476,0.0010056225515773145,4.8758289178071646e-4
i11_health_Not sure,7.588477558365488e-4,7.34753981678641e-4,4.1822186343147636e-4
WCRex1_Somewhat badly,7.714829345366733e-4,6.919800675908882e-4,4.591814990448117e-4
PHQ4_2_Prefer not to say,5.044133220322473e-4,4.3871470725228526e-4,3.862051392969306e-4
PHQ4_3_Prefer not to say,4.313207561305224e-4,3.7571384751678024e-4,3.5090852553965686e-4
d1_comorbidities_Prefer_not_to_say,4.1840278943194197e-4,3.6013209292822456e-4,2.939108072809614e-4
PHQ4_1_Prefer not to say,3.8127009634096907e-4,3.213459197074348e-4,2.964339390980499e-4
PHQ4_4_Prefer not to say,3.0275507486055363e-5,0,8.188171599453471e-5
