feature,mean_importance,median_importance,sd_importance
i11_health_Very willing,0.27122111001690813,0.2728128012737597,0.01871641781946016
i9_health_Yes,0.13399675964522645,0.13297696985602625,0.015328328111494366
age,0.06686558820733719,0.06681857006561168,0.0035515124291508908
r1_1,0.05874833728429416,0.058673260317385706,0.003978194311387532
household_size,0.05633698489505735,0.05671490821752355,0.003417093749608557
week_number,0.050839850892129335,0.05122090778326868,0.003979272580540947
gender_Male,0.04506944278597259,0.0451146558776802,0.0026798792736841158
i2_health,0.03393817318924811,0.03382098844091366,0.002870620191856802
vaccination_status_2,0.026198203249038904,0.026134809403445827,0.002133049529333861
PHQ4_1_Not at all,0.01812198457338209,0.018078888464150504,0.0019145828887415118
cantril_ladder,0.016495343684668037,0.016362647086301904,0.0018053896224815515
r1_2,0.016038230076599852,0.01603229447904827,0.0019483827984575076
i11_health_Very unwilling,0.01414789498248011,0.014000513340158987,0.0029325379770948207
PHQ4_1_Several days,0.013391264763372483,0.013416705821316162,0.001798142507157537
vaccination_status_1,0.01317128389996073,0.012969143951127516,0.0013794790760137852
WCRex1_Very badly,0.011666198436179985,0.011541416185654895,0.002344773550271201
i11_health_Somewhat willing,0.011502513299186307,0.01148528401934847,0.0013942006669036648
PHQ4_2_Not at all,0.011654993387652019,0.011291355381092764,0.0015037266216143732
PHQ4_4_Nearly every day,0.010508240696145395,0.010418494861711081,0.001018664390658347
WCRex1_Somewhat well,0.008800706895321413,0.008836225676276793,0.0014735193493226437
WCRex2_A lot of confidence,0.008607431548936255,0.008645855635617247,0.001085287891534719
d1_comorbidities_Yes,0.008152419790482835,0.008188948416714793,0.0011560766106298995
vl_num,0.007271710911490447,0.0073249552951732844,0.001032498202830294
PHQ4_2_Several days,0.006866333922455447,0.006824431908134701,0.001206450654255769
PHQ4_3_Several days,0.006909332130958928,0.006781479824456722,0.0010811877219238754
PHQ4_1_Nearly every day,0.006241247970656273,0.006196869311638822,0.0012298177171444593
PHQ4_4_Several days,0.005965671221834727,0.0058627248740888965,0.001074899098608474
hl_covid_num,0.005262920527993056,0.005277693488138116,7.9571118218858e-4
employment_status_Not working,0.004719359248294253,0.004788138309848484,8.14256236423935e-4
PHQ4_3_Nearly every day,0.004706330702129874,0.004684952140221708,8.624396042727904e-4
PHQ4_4_Not at all,0.0041459018708990426,0.004115099768074712,0.0010845745235634912
i9_health_Not sure,0.003983412983457679,0.004027202598189213,8.625123464922835e-4
WCRex2_Don't know,0.0036528417881730524,0.0035330086596900862,7.899880079658046e-4
WCRex2_No confidence at all,0.003275084810238084,0.003207839169630217,0.0011826407360475248
region_North east,0.0031842249993404275,0.0031381130913899495,8.159534511846501e-4
region_South,0.0029517842006827,0.0029557056301265923,7.75214821973431e-4
employment_status_Retired,0.0025158072008635195,0.0024488051563563234,7.724651424986409e-4
WCRex2_Not very much confidence,0.0024271487637108954,0.002414701452934375,5.75927728409742e-4
WCRex1_Very well,0.0022749205456676544,0.002212009399438078,6.421288417613974e-4
region_North west,0.0021660195812124544,0.0020752782525198087,7.889170161380873e-4
PHQ4_2_Nearly every day,0.0020340191011492827,0.0020091929911629468,6.960871212614405e-4
employment_status_Part time employment,0.0018476251704106726,0.0018091685537700878,6.988232889688142e-4
PHQ4_3_Not at all,0.0016509145525916218,0.0016366676847823804,7.589787479291347e-4
i11_health_Somewhat unwilling,0.0020000128873254902,0.0014948061111403304,0.001693731110251591
vaccination_status_3,0.001224768364992936,0.0011601985598002726,6.189963041502317e-4
employment_status_Other,0.0011976437000946639,0.001143043936600516,5.085026850383905e-4
employment_status_Unemployed,0.001113803106484208,0.0010921948287719993,4.906939511277574e-4
employment_status_Full time student,0.0010133962950430466,9.693865920767464e-4,4.03968654202023e-4
WCRex1_Somewhat badly,8.104853723148131e-4,7.996546115920667e-4,4.996915991053915e-4
region_Islands,7.770432594120432e-4,7.454975468938153e-4,3.6718873591695385e-4
i11_health_Not sure,7.178162380400333e-4,6.381423292430374e-4,4.669696639350539e-4
PHQ4_2_Prefer not to say,4.263418384752396e-4,4.0248066971317737e-4,3.2496546404519434e-4
d1_comorbidities_Prefer_not_to_say,3.4931154992996343e-4,3.573183023493073e-4,2.4249563218477086e-4
PHQ4_1_Prefer not to say,4.1080348798145283e-4,3.457136057364701e-4,2.7844344121832085e-4
PHQ4_3_Prefer not to say,3.962837062066386e-4,3.3139033390750547e-4,3.53723105073705e-4
PHQ4_4_Prefer not to say,3.6721789909678936e-5,0,1.0007007198865086e-4
