number,max_depth,min_samples_leaf,max_features,min_samples_split,value,std_err
0,4,1,sqrt,2,0.7992215987454893,0.007408716753985397
1,8,1,sqrt,2,0.8122926130152792,0.008210916455267815
2,16,1,sqrt,2,0.7952823593871035,0.007110989942754528
3,32,1,sqrt,2,0.8094607196163054,0.006510601305610384
4,4,5,sqrt,2,0.7992062142546754,0.007396587812438271
5,8,5,sqrt,2,0.8128858605733287,0.007870346202440575
6,16,5,sqrt,2,0.810752274610462,0.007226516366631948
7,32,5,sqrt,2,0.8154773375654178,0.00724067550058458
8,4,20,sqrt,2,0.7992986561512323,0.00737258995488722
9,8,20,sqrt,2,0.8132039416684885,0.007516693499974398
10,16,20,sqrt,2,0.8159866451823602,0.007130552658079776
11,32,20,sqrt,2,0.8164203798619715,0.007343162851330833
12,4,50,sqrt,2,0.7992008161877231,0.0074034989962761194
13,8,50,sqrt,2,0.8125317473812628,0.007566358989671947
14,16,50,sqrt,2,0.8141652024410059,0.007690711491510097
15,32,50,sqrt,2,0.813873571873912,0.007686337302384393
16,4,100,sqrt,2,0.7989502109294662,0.007394323131023774
17,8,100,sqrt,2,0.8105986996056712,0.0074800927488698835
18,16,100,sqrt,2,0.8126027319616845,0.007522027098658214
19,32,100,sqrt,2,0.8126206805343007,0.007578910359949412
20,4,1,log2,2,0.7984387440857429,0.007742246902415471
21,8,1,log2,2,0.8100184074083071,0.007908352164664212
22,16,1,log2,2,0.7951575290888333,0.0078666663461778
23,32,1,log2,2,0.8111712995576285,0.00695248722665281
24,4,5,log2,2,0.79845885188514,0.007720463346275391
25,8,5,log2,2,0.8113398541982116,0.007732335799091237
26,16,5,log2,2,0.8123741238262578,0.007469183971314992
27,32,5,log2,2,0.8149587182829828,0.007994249725539656
28,4,20,log2,2,0.7984993373872816,0.007695168400823444
29,8,20,log2,2,0.8115897846980996,0.007853337395386118
30,16,20,log2,2,0.8170327905577013,0.007141656420398954
31,32,20,log2,2,0.8164342798843733,0.007110397646492641
32,4,50,log2,2,0.7986267317673541,0.0076391439279494145
33,8,50,log2,2,0.8116090827874538,0.007226773855914058
34,16,50,log2,2,0.8135290402506862,0.007655661359109299
35,32,50,log2,2,0.8132998923085643,0.007664613714226426
36,4,100,log2,2,0.79850743448771,0.007664039738365759
37,8,100,log2,2,0.8104078779389101,0.00753102897472483
38,16,100,log2,2,0.8126569825345543,0.007767532664521271
39,32,100,log2,2,0.8125521250840074,0.0077808351364249346
40,4,1,all,2,0.7863903936000518,0.009021240603865813
41,8,1,all,2,0.7719477305177016,0.008607521217073888
42,16,1,all,2,0.7473755273236654,0.00785803752044359
43,32,1,all,2,0.7630975997495297,0.008847399171703746
44,4,5,all,2,0.7863459944993698,0.009047393097946997
45,8,5,all,2,0.7733112822298335,0.008552084704549046
46,16,5,all,2,0.7592393988712642,0.008633581492425203
47,32,5,all,2,0.7736532497712569,0.00795000933875762
48,4,20,all,2,0.7864851296750633,0.009045593692163038
49,8,20,all,2,0.7802973255277286,0.008107425483290695
50,16,20,all,2,0.777293031365468,0.009225234195509217
51,32,20,all,2,0.7836356250826579,0.008506790187740188
52,4,50,all,2,0.7865239282812825,0.008558237373343073
53,8,50,all,2,0.7871738555423303,0.008974953791391346
54,16,50,all,2,0.7864980850357487,0.008246994964620188
55,32,50,all,2,0.7877160238918444,0.007875518067291552
56,4,100,all,2,0.7857246095173318,0.008522469192138497
57,8,100,all,2,0.7894348358852695,0.008605796872829244
58,16,100,all,2,0.788775664434566,0.007645461784495115
59,32,100,all,2,0.7899138468514425,0.007091169412605101
60,4,1,sqrt,10,0.7992215987454893,0.007408716753985397
61,8,1,sqrt,10,0.8123271606437734,0.008222614409766143
62,16,1,sqrt,10,0.7955298607568629,0.008463888178725527
63,32,1,sqrt,10,0.8105246111367519,0.006359155324347932
64,4,5,sqrt,10,0.7992062142546754,0.007396587812438271
