feature,mean_importance,median_importance,sd_importance
i11_health_Very willing,0.27043704264900525,0.2717526260188546,0.018321787852355817
i9_health_Yes,0.13639089596682116,0.13572727101211973,0.01547303808884041
age,0.06818710663108643,0.06787104678764079,0.0037032741842573484
r1_1,0.05872270609033163,0.05864719061209957,0.0036008118837140804
household_size,0.057107729660867954,0.05665458885609196,0.003397218937201
week_number,0.04962460878459917,0.04973242510014511,0.003257390085536439
gender_Male,0.04566683489985031,0.045625899830577535,0.002592965917600153
i2_health,0.03234344430134067,0.03209427811579013,0.0023183320866518864
vaccination_status_2,0.025896435709775806,0.02587677518907934,0.002265427256491142
PHQ4_1_Not at all,0.01821205175285094,0.018194152839000027,0.001993223729393679
cantril_ladder,0.016791046569860694,0.016731506417187805,0.0015787354436980166
r1_2,0.01629515268170683,0.016269991935024188,0.0017020887478284774
i11_health_Very unwilling,0.014390386864976124,0.014166285468888117,0.0032043836437407143
PHQ4_1_Several days,0.013416073955699331,0.013478661096222965,0.0017513888941243145
vaccination_status_1,0.013350222208031094,0.013416447889992716,0.001490497085433986
WCRex1_Very badly,0.012431546826163004,0.012362815878724159,0.0021562386985372758
PHQ4_2_Not at all,0.012001545476791187,0.01212818846251439,0.0015959658075065128
i11_health_Somewhat willing,0.012134696518893148,0.011769287767887021,0.0016342317483727328
PHQ4_4_Nearly every day,0.010666232186698486,0.010573392008544805,0.0010065999320468515
WCRex1_Somewhat well,0.009055438450295472,0.008890982989480736,0.0017648318225730903
WCRex2_A lot of confidence,0.008587785205799784,0.008598892033809102,0.0011096917490162617
d1_comorbidities_Yes,0.008422198295779825,0.008351801003803259,0.0012201665121308561
PHQ4_3_Several days,0.00702113189229941,0.007086238411680235,0.0011432334462286795
PHQ4_2_Several days,0.0068802424149953835,0.006779776256642417,0.0012639073888467062
PHQ4_1_Nearly every day,0.006324401884738716,0.0064120713479870976,0.0012385694513643106
PHQ4_4_Several days,0.005850524229347595,0.005741669638553661,0.0011763774763957613
PHQ4_3_Nearly every day,0.004766837611598981,0.0048154763938664915,0.0010342005395287544
employment_status_Not working,0.004406286771484634,0.004394900291338254,7.895952828905241e-4
PHQ4_4_Not at all,0.004441943347401097,0.004290965067887816,0.0010215442976056859
i9_health_Not sure,0.004241536867688215,0.004158732730953051,7.416601836220734e-4
WCRex2_Don't know,0.003723191243730947,0.0037044057893874703,6.460758839543878e-4
hl_covid_num,0.003591645333066231,0.003637137035617538,7.364379972717839e-4
region_North east,0.0031284990377572304,0.003204072695049219,9.067179516420177e-4
vl_num,0.0031150772136035536,0.0030644610063741053,8.970342153566267e-4
WCRex2_No confidence at all,0.003258274738616058,0.0030458594019394008,0.0012390372923137712
region_South,0.0026861481588608474,0.002666701276895971,6.358522941058935e-4
WCRex2_Not very much confidence,0.0026049356275697415,0.0025113477061265575,7.065738469269984e-4
region_North west,0.002266841094054477,0.0022566673544425946,6.535873850125959e-4
employment_status_Retired,0.002387143047784474,0.002243864863928551,8.931246706260663e-4
WCRex1_Very well,0.0022576371694766565,0.0021963210647784346,7.192048421522155e-4
employment_status_Part time employment,0.0021353275462229608,0.0020819236089713493,6.633420570659903e-4
PHQ4_2_Nearly every day,0.002111885358851112,0.002065378560296559,6.830356212811112e-4
PHQ4_3_Not at all,0.0018810245696690322,0.0017653479693626834,6.929113046865797e-4
i11_health_Somewhat unwilling,0.0018927295949639823,0.0015750317997465157,0.0012703311326207457
employment_status_Other,0.001354490797544472,0.0013139213878028454,5.582351002264423e-4
vaccination_status_3,0.0012130770610557524,0.0011317916960150096,5.904741779173843e-4
employment_status_Unemployed,0.001189350965351823,0.001084193144446507,5.151385251223907e-4
employment_status_Full time student,0.0010697075058898385,0.0010320728001506376,4.060085378562552e-4
region_Islands,8.892399557906327e-4,8.166885321915429e-4,4.542413831963262e-4
WCRex1_Somewhat badly,8.170702097468297e-4,7.807864674760137e-4,4.330531428272581e-4
i11_health_Not sure,7.678995157068535e-4,7.770455366448408e-4,3.979836427235482e-4
PHQ4_3_Prefer not to say,4.3580748745507513e-4,4.532170759253412e-4,3.1446133325009347e-4
PHQ4_2_Prefer not to say,4.1030513132726934e-4,3.7073477093460126e-4,3.194567383607086e-4
d1_comorbidities_Prefer_not_to_say,3.761232177196664e-4,3.439998956418337e-4,2.444600324276846e-4
PHQ4_1_Prefer not to say,3.271007872990543e-4,2.7308500412180636e-4,2.410026692629409e-4
PHQ4_4_Prefer not to say,4.538092410707762e-5,0,9.911428747066366e-5
