feature,mean_importance,median_importance,sd_importance
i11_health_Very willing,0.22168456718389434,0.2204339364498651,0.01257738385274886
i9_health_Yes,0.16075753244419513,0.16064681238643033,0.010418949320423952
r1_1,0.05567603127583979,0.055810814670823536,0.002935452260431718
household_size,0.05262878860246849,0.05287951355709712,0.002852406248071303
gender_Male,0.0507166212135602,0.05076699150116845,0.0027317565773038177
age,0.045767274675284936,0.04586088700193201,0.002306440280025313
week_number,0.03311516244830189,0.03317351144822383,0.0010357261212538124
i11_health_Very unwilling,0.029409624719861742,0.029414962224224246,0.0023380574236127605
i2_health,0.025739462126103063,0.02586506318021526,9.9717349782623e-4
vaccination_status_2,0.022424142865115442,0.022513950605716558,0.0016739264180003757
i11_health_Somewhat unwilling,0.019099150930307524,0.01908475138928832,0.0019146696680202536
cantril_ladder,0.016127897950982562,0.016179819258018792,5.402334109819533e-4
vaccination_status_1,0.01571214248106264,0.015663882555359457,0.0013380011826442779
r1_2,0.015608612531925638,0.01553583751585928,5.65005296495944e-4
PHQ4_1_Not at all,0.013970219288275347,0.014185935147407047,0.0012394409505527399
WCRex1_Somewhat well,0.014006159656773098,0.01411327770222588,0.001405872349522242
WCRex2_No confidence at all,0.013675155685403489,0.013531143400399985,0.0015708219982836188
WCRex1_Very badly,0.01359124224863108,0.013311937696492068,0.0014962019868076644
i9_health_Not sure,0.013031404162133277,0.01309728524275895,0.001409400413518395
PHQ4_2_Not at all,0.0116789135674217,0.011683575962501427,8.413588893416463e-4
i11_health_Somewhat willing,0.01161744219928214,0.011575908449997493,7.924972697126237e-4
PHQ4_1_Several days,0.00941788600297313,0.009401282602777115,8.349599482712647e-4
PHQ4_3_Several days,0.008692989660235571,0.008636337187779078,7.292053103411223e-4
WCRex2_A lot of confidence,0.008163241846082202,0.008170810991263468,6.722147762355407e-4
PHQ4_2_Several days,0.006878725233864947,0.006875430521178144,5.329976769794134e-4
vl_num,0.00628059808843532,0.006297585682267953,3.258688115024821e-4
hl_covid_num,0.0059495076116264905,0.00591580605180651,2.9413131066406136e-4
d1_comorbidities_Yes,0.005764763671189551,0.005724463286762783,4.775199753210468e-4
PHQ4_4_Several days,0.005592692211793367,0.005625551387781922,3.613692098621402e-4
PHQ4_4_Not at all,0.005604912158754455,0.005583143986246836,3.9655217217944127e-4
PHQ4_1_Nearly every day,0.005565751238462141,0.005525800807696945,5.222943060511785e-4
PHQ4_4_Nearly every day,0.005173830274832176,0.005183059120358851,3.323206681164945e-4
vaccination_status_3,0.004639887668144264,0.004646802144051101,3.339595836284006e-4
PHQ4_3_Nearly every day,0.004489986635386543,0.004433494851873306,3.1123709712577337e-4
region_South,0.003957975422051186,0.00397181177176251,2.527502842820223e-4
PHQ4_3_Not at all,0.003991440315369732,0.003970622598353764,2.974909582847945e-4
region_North west,0.0037953132323718833,0.0038051823368234422,2.4665245528935253e-4
WCRex2_Don't know,0.0036630943990846503,0.0036218857115050606,4.3130900715977874e-4
employment_status_Retired,0.0036223088671843164,0.0035870089711612318,2.8661121850913335e-4
WCRex2_Not very much confidence,0.0036123514277575084,0.0035833979572368804,2.459684372106096e-4
region_North east,0.0035751965818787514,0.003572997267674933,2.1209215185412385e-4
employment_status_Part time employment,0.0034732856749834745,0.0034765264116880757,2.1302790235026747e-4
WCRex1_Somewhat badly,0.003486647576887958,0.003469748935277504,2.4618018576413143e-4
employment_status_Unemployed,0.003373022809367308,0.0033665788903015784,2.1698668868658702e-4
PHQ4_2_Nearly every day,0.003351432711546149,0.0033618463504181397,2.299268535236194e-4
WCRex1_Very well,0.0029316906272627463,0.0028794354551322215,2.789236598599619e-4
region_Islands,0.0028315920692692453,0.002843682591950769,1.668407743698529e-4
employment_status_Not working,0.0026495822805122768,0.0026437012894875433,2.1275955740355967e-4
i11_health_Not sure,0.0025459317971932662,0.0025845371415435837,2.965782067002482e-4
PHQ4_1_Prefer not to say,0.0020127394894923416,0.001993403724372385,3.303556985509044e-4
employment_status_Full time student,0.001997518928969143,0.001990006842700505,1.5588326051320923e-4
employment_status_Other,0.001695812496094432,0.001689896929273401,1.557649012787489e-4
PHQ4_3_Prefer not to say,0.001524192318649748,0.0015180209850616999,2.7975142771100345e-4
PHQ4_2_Prefer not to say,0.0014096171294818993,0.0014007130678882003,2.0381502646772546e-4
d1_comorbidities_Prefer_not_to_say,0.0011392292252897867,0.0011336135892537368,1.092950683470232e-4
PHQ4_4_Prefer not to say,0.0011077040606984909,0.0011028496550660998,1.6658467587406746e-4
