feature,mean_importance,median_importance,sd_importance
r1_1,0.17085937002767393,0.1717410942892041,0.006177339122765331
i11_health_Very willing,0.16524165211482286,0.16652129807596072,0.011021344463994954
i9_health_Yes,0.15757009951468173,0.1577209508959952,0.010437534069861344
week_number,0.14935455465536546,0.1493377670980047,0.0055942147158648085
i2_health,0.1240972013388035,0.12419313354298546,0.0042676499772006165
age,0.04815177409565414,0.04822869883055281,0.002453042686162446
gender_Male,0.024648956827118696,0.024524461566593832,0.0015666452920756226
household_size,0.024094970804347766,0.0242572821922086,0.0016657809153301521
WCRex1_Very badly,0.012656976062619368,0.012822327931348153,0.0018340117775935835
cantril_ladder,0.009512184173587403,0.009556794189064785,9.794673525808251e-4
region_South,0.009085709836375872,0.009074981179485509,7.862474566130234e-4
WCRex2_No confidence at all,0.008823248082158978,0.008587955019940006,0.0014412692642754594
r1_2,0.00714769537724141,0.007086981156891472,8.548859666942406e-4
WCRex1_Somewhat well,0.007062429616517376,0.007071994379017956,0.0010207694169286508
region_Islands,0.006308736625830239,0.006262626605033761,6.779121828581326e-4
i11_health_Very unwilling,0.006052976632551743,0.005417567313642541,0.001842078235424729
vaccination_status_1,0.004971834960594398,0.004928717030431165,8.713598541100156e-4
i11_health_Somewhat willing,0.004973297846132788,0.004837680167874734,9.86914337172887e-4
vaccination_status_2,0.004952884553784226,0.004672793745244045,0.0025317995160689787
PHQ4_2_Not at all,0.004289176596589595,0.0043187725730187525,9.67854144831061e-4
PHQ4_4_Nearly every day,0.0042917131928385125,0.004249432250243337,6.761835877581826e-4
PHQ4_1_Several days,0.0038824263663548115,0.0038843545520265803,7.061847795021275e-4
region_North east,0.003001588889887744,0.00296187163226754,6.230172727218233e-4
i9_health_Not sure,0.003375624566886114,0.002862663845955257,0.002402447994696891
employment_status_Not working,0.0027115317262747032,0.0027164481618779197,5.221127620815161e-4
PHQ4_1_Not at all,0.00280141168161442,0.0027111852556817692,6.8032763038124e-4
d1_comorbidities_Yes,0.0026129525170494683,0.0026090316508513922,5.754083519584137e-4
PHQ4_2_Several days,0.0023702241179723773,0.0023726158530111667,6.345474824923289e-4
PHQ4_3_Prefer not to say,0.0023947133032994577,0.0023485036869426426,5.817371742091235e-4
vl_num,0.0018494249299222782,0.001847437429363578,4.10203634548421e-4
hl_covid_num,0.0017735215696440699,0.0017446442825512476,4.898316259673372e-4
region_North west,0.0016942333407841674,0.0016870142806897056,5.274489837112093e-4
PHQ4_3_Not at all,0.0015830777054456691,0.0015268197736916064,6.00208429367784e-4
PHQ4_4_Several days,0.0012496720796694688,0.0012437092948201815,3.639893140745089e-4
employment_status_Retired,0.0010868408285864054,0.0010841453569096654,5.20446735074053e-4
WCRex2_Not very much confidence,0.0010920758912507458,0.0010687897353608947,3.9636029796033447e-4
PHQ4_3_Several days,0.0010449908017574065,0.0010363420983824862,3.688478151931384e-4
PHQ4_3_Nearly every day,9.829123138989143e-4,9.366937411835887e-4,3.485607011128495e-4
WCRex2_A lot of confidence,9.86618367315666e-4,9.079173834923342e-4,3.5286558960180797e-4
WCRex1_Very well,8.39636165980827e-4,8.045064654401716e-4,3.3361221422796865e-4
PHQ4_2_Nearly every day,7.207872899352878e-4,7.09806351852393e-4,3.2414346562649015e-4
PHQ4_4_Not at all,7.44504997359648e-4,6.69149292267496e-4,3.786787577395698e-4
employment_status_Part time employment,6.307372347752154e-4,6.277760090179526e-4,2.8691849620906987e-4
vaccination_status_3,8.419145117624813e-4,6.115482013915221e-4,7.671376833252644e-4
PHQ4_2_Prefer not to say,6.232350619999552e-4,6.073591234609523e-4,3.893902550906219e-4
employment_status_Unemployed,6.237068653113493e-4,6.048624419237375e-4,2.825930142575334e-4
employment_status_Other,5.997179071916425e-4,5.998667813434562e-4,3.39720057412646e-4
PHQ4_1_Nearly every day,6.288667148872199e-4,5.915393047602612e-4,2.920005669736343e-4
WCRex2_Don't know,5.149062686142258e-4,4.765281190861189e-4,2.848670472352878e-4
WCRex1_Somewhat badly,4.8676769074845706e-4,4.514876013167134e-4,2.473852989120158e-4
PHQ4_1_Prefer not to say,4.994500907113204e-4,4.3361983359308995e-4,3.3556470946448293e-4
employment_status_Full time student,4.6750517774386255e-4,4.058294828460375e-4,2.6611020849173734e-4
d1_comorbidities_Prefer_not_to_say,3.149390911619846e-4,3.0211369216646316e-4,2.1000753303041677e-4
i11_health_Somewhat unwilling,4.5114934840530507e-4,2.9914388942102086e-4,5.182878622438229e-4
PHQ4_4_Prefer not to say,2.0272408204196612e-4,1.5858320015722647e-4,1.9399641050083647e-4
i11_health_Not sure,1.6816756846536098e-4,1.433250758927397e-4,1.291661875944846e-4
