feature,mean_importance,median_importance,sd_importance
i11_health_Very willing,0.1677190824405985,0.16763639281737536,0.00890554527870011
i9_health_Yes,0.1568092310561757,0.15686581076331918,0.00821403577299879
r1_1,0.15444177670700124,0.15388778048133522,0.007479211470666733
i2_health,0.10113525952301052,0.10126751464712305,0.003994859464554509
week_number,0.09611255733359918,0.09523863458950164,0.003820817810129615
age,0.03641326029497529,0.03640370338948736,0.001522865328372462
i9_health_Not sure,0.02528185674990306,0.025330650063177602,0.002506869625586589
gender_Male,0.024661464483960806,0.024762530057116896,0.0017399442765004191
i11_health_Very unwilling,0.02236912821245188,0.02219230139813211,0.00235212482275955
WCRex1_Very badly,0.02124894411019293,0.02123846978165745,0.001954900140875447
household_size,0.018512860221846467,0.01860005659043818,0.0011985664768373963
WCRex2_No confidence at all,0.017660366984231683,0.01744382655038331,0.0018883687160779357
vaccination_status_2,0.014405251529004447,0.01444304673283462,9.924560685256952e-4
WCRex1_Somewhat well,0.010591397122911333,0.010526544892085203,9.306335239133874e-4
r1_2,0.009696521094117984,0.009640054003963417,4.165313350266015e-4
cantril_ladder,0.009587436415406075,0.009633731478173698,3.453756814610648e-4
vaccination_status_3,0.009412016072143748,0.009441341282880362,6.65043432974094e-4
i11_health_Somewhat unwilling,0.008440044428068757,0.008468203449047926,0.0010428809563984235
i11_health_Somewhat willing,0.00811233684279533,0.008161420377796581,5.088448265847577e-4
region_South,0.005461770903745489,0.005409279078661006,5.55320062459496e-4
employment_status_Retired,0.0043977674043949805,0.0044468740124221,4.4463336503122643e-4
vaccination_status_1,0.004290123040711134,0.0042553994625823075,4.07474369121987e-4
region_Islands,0.003807875091856593,0.0038080637552091543,2.924588115979895e-4
employment_status_Not working,0.0038282790807603563,0.0037873437371265823,3.839156146676075e-4
region_North east,0.003764159688592176,0.0037640901213134483,3.3504207358572364e-4
PHQ4_2_Not at all,0.0034025720705408925,0.0033925622429421586,2.6710669615396035e-4
d1_comorbidities_Yes,0.003233383360985982,0.00321800079115376,2.3305650542841558e-4
hl_covid_num,0.0031722042780650732,0.0031678244695211464,1.470004873656097e-4
vl_num,0.0028718441902076627,0.002863848486995528,1.276006343539592e-4
PHQ4_4_Nearly every day,0.0028612514217256054,0.0028374130535118083,2.3251754788121838e-4
PHQ4_1_Several days,0.002793397230368316,0.002790501777271517,1.9974211321589468e-4
PHQ4_3_Not at all,0.002639047831748071,0.002628087204090266,2.1228638824702796e-4
PHQ4_4_Not at all,0.002517516378602367,0.002528630117134753,2.309660072090805e-4
PHQ4_2_Several days,0.0024552558735473815,0.0024518731890329428,1.7394248215742288e-4
PHQ4_1_Not at all,0.0024184697276805017,0.002421616693337522,1.5292677519248494e-4
WCRex2_A lot of confidence,0.0022800057328941936,0.002270327068650768,1.499316416555595e-4
WCRex2_Not very much confidence,0.002237306161606022,0.002229190371098543,1.295268603084947e-4
region_North west,0.002201153176858967,0.00220341355397636,1.719800209441168e-4
WCRex1_Somewhat badly,0.0021931663626727884,0.002173347240193709,1.427866439204891e-4
WCRex1_Very well,0.002165432168298684,0.0021549523507940474,1.5075940645697608e-4
PHQ4_4_Several days,0.0020831641562823943,0.0020760405547243675,1.3847924864802077e-4
PHQ4_3_Several days,0.0020252224150130505,0.0020467441730447687,1.460830150446345e-4
PHQ4_3_Nearly every day,0.002052574745399782,0.0020444260277689592,1.4087118995056145e-4
employment_status_Full time student,0.0016696914117730226,0.0016514079298788965,1.4469263129685266e-4
employment_status_Part time employment,0.0016377712841080477,0.0016451344853323005,9.677290329575594e-5
PHQ4_2_Nearly every day,0.0015981450346530994,0.0015930475210639472,1.0582647041892126e-4
employment_status_Unemployed,0.0016080314773946466,0.0015863167772582059,1.1518320007954294e-4
PHQ4_1_Nearly every day,0.0015393687903568687,0.0015355926261763422,1.0257675557855713e-4
i11_health_Not sure,0.0013135436120187663,0.0012777643048923937,2.164513210908841e-4
WCRex2_Don't know,0.0012337705359852151,0.0012126969817704172,1.4540253772420467e-4
d1_comorbidities_Prefer_not_to_say,0.0010503586762952702,0.0010363966725353926,9.749044880946582e-5
PHQ4_3_Prefer not to say,0.0010194695903230657,0.001024402403621253,1.7824140328917754e-4
employment_status_Other,0.001002822395140159,0.0010176827919117087,9.045768293112005e-5
PHQ4_1_Prefer not to say,0.0010082112354879334,0.0010034066708639378,1.574102414765711e-4
PHQ4_4_Prefer not to say,7.9874676134246e-4,7.829441748662869e-4,1.185614707757602e-4
PHQ4_2_Prefer not to say,7.563350801680509e-4,7.472414067759836e-4,1.1143022821875601e-4
