model_number,model_type,draw,metric,Q_i,U_i
model_1,rf,18,precision,0.9808003784747273,7.396553832119663e-7
model_1,rf,18,recall,0.8647168848835232,8.701746342995415e-6
model_1,rf,18,roc_auc,0.8105166489879974,5.91017240267689e-5
model_1,rf,18,accuracy,0.8540355454100766,5.935073265480598e-6
model_1,rf,18,f1,0.9190933192233403,2.226234492747993e-6
model_1,rf,19,precision,0.9805693583802665,5.711902251231062e-7
model_1,rf,19,recall,0.8646828770617242,8.59708020210751e-6
model_1,rf,19,roc_auc,0.8108143523804126,5.947281331097399e-5
model_1,rf,19,accuracy,0.8538072721343551,6.642794329479375e-6
model_1,rf,19,f1,0.9189741760866655,2.4481597774999983e-6
model_1,rf,20,precision,0.9806399172430145,6.510627612608871e-7
model_1,rf,20,recall,0.864410814487332,1.0555088782475783e-5
model_1,rf,20,roc_auc,0.8102130077219347,6.050944498687215e-5
model_1,rf,20,accuracy,0.8536116093265939,8.240085145596868e-6
model_1,rf,20,f1,0.9188487261420255,3.032265351784405e-6
model_2,xgboost,1,precision,0.9683117851991082,1.942659650124701e-7
model_2,xgboost,1,recall,0.7790037493304767,6.32235915991863e-6
model_2,xgboost,1,roc_auc,0.839651623453732,3.2712185901017033e-6
model_2,xgboost,1,accuracy,0.7749266384088687,4.506463569988746e-6
model_2,xgboost,1,f1,0.8633927358892591,2.2372852137251176e-6
model_2,xgboost,2,precision,0.9684586999613173,9.011436725235847e-8
model_2,xgboost,2,recall,0.7784324227816461,8.431299777142721e-6
model_2,xgboost,2,roc_auc,0.839593371995687,3.3002662123351318e-6
model_2,xgboost,2,accuracy,0.7745353765895011,6.6629536270121964e-6
model_2,xgboost,2,f1,0.8630981225259949,3.239365776096766e-6
model_2,xgboost,3,precision,0.968907974142167,8.64715647069506e-8
model_2,xgboost,3,recall,0.7778253883235137,7.540674008623335e-6
model_2,xgboost,3,roc_auc,0.8397381464647328,3.232940326849608e-6
model_2,xgboost,3,accuracy,0.7743397456798174,6.156388425054208e-6
model_2,xgboost,3,f1,0.8629046331639513,2.9738358511954164e-6
model_2,xgboost,4,precision,0.9684564466512565,8.999688850050499e-8
model_2,xgboost,4,recall,0.7783610069630423,6.21142939347457e-6
model_2,xgboost,4,roc_auc,0.839629850338304,3.330920433267076e-6
model_2,xgboost,4,accuracy,0.7744701662862732,4.790841726387022e-6
