feature,mean_importance,median_importance,sd_importance
r1_1,0.1714348825102024,0.17170406922355033,0.006694716315643395
i11_health_Very willing,0.16491295446776705,0.16494636866765622,0.01091799738401303
i9_health_Yes,0.15742594534203935,0.15717442232902523,0.01077338927726003
week_number,0.15037574718596303,0.15059268327890318,0.005559364865104303
i2_health,0.12381605369277852,0.12402976272060012,0.004339045711540324
age,0.047703666832497445,0.04752709706804514,0.0022567243398116206
gender_Male,0.024593544437587482,0.024500133653651897,0.0016571444923324525
household_size,0.024164509705759646,0.024206300474086576,0.0020437728671883633
WCRex1_Very badly,0.01279014944183069,0.01280721118173151,0.002069694794467468
cantril_ladder,0.009296782460385037,0.009305628051986837,0.001111869792549655
region_South,0.009060550282471384,0.009096386070650699,9.082406069727472e-4
WCRex2_No confidence at all,0.008983039923346434,0.008822790986040833,0.001533018902412143
WCRex1_Somewhat well,0.00719825228132697,0.0070547225356100505,0.0010263912039129572
r1_2,0.0069676904586453555,0.0068400889819294555,9.677887803474127e-4
region_Islands,0.006412002340444023,0.006393339077235568,7.015048337621477e-4
i11_health_Very unwilling,0.00591137673701187,0.005597953896169778,0.0015042392551809713
i11_health_Somewhat willing,0.005040392887167659,0.004924811464129516,8.493402314514839e-4
vaccination_status_1,0.00494674126541156,0.004911457826027038,9.267525587178232e-4
vaccination_status_2,0.004943299597515328,0.004579829836596688,0.0023506585155216512
PHQ4_2_Not at all,0.004303337849116932,0.0043231502607368865,7.704178710419354e-4
PHQ4_4_Nearly every day,0.004304253439729365,0.004280046136736891,5.937972135096287e-4
PHQ4_1_Several days,0.0040937124650742476,0.004107880285490002,6.777977085993641e-4
region_North east,0.003173461174238692,0.0031276921049914657,7.481616834420109e-4
d1_comorbidities_Yes,0.002757460540333628,0.0027692981651450226,5.515910558647504e-4
PHQ4_1_Not at all,0.0027967441295383734,0.0027520725361183905,6.089370657959063e-4
i9_health_Not sure,0.003165119974351503,0.0026597397946727234,0.0021654391185058353
employment_status_Not working,0.0027035182454534516,0.0026163476329150908,4.974498500671738e-4
PHQ4_2_Several days,0.0023499205348534607,0.0023545214062252323,5.976577250275415e-4
PHQ4_3_Prefer not to say,0.0022188284752322307,0.002215935052145307,5.448893168593606e-4
vl_num,0.0017714057133962101,0.00173770899969528,5.782364696826888e-4
region_North west,0.0016739532212893804,0.0016485107904111356,4.544981251131999e-4
PHQ4_3_Not at all,0.001628524517366033,0.0015853085588107031,5.445677494821658e-4
PHQ4_4_Several days,0.0012159152537104003,0.0011804606413203722,4.169708492309412e-4
hl_covid_num,0.0011047224960473326,0.001093751475533432,3.096300115546576e-4
WCRex2_Not very much confidence,0.0011266904192814707,0.0010924981005971505,4.0903217732008677e-4
PHQ4_3_Nearly every day,0.0010661456746778274,0.0010598512746811336,4.4118582749870034e-4
PHQ4_3_Several days,0.0010619902904514956,9.721602514108276e-4,3.86010599503825e-4
employment_status_Retired,9.912467915905256e-4,9.163621951296915e-4,5.154882160730473e-4
WCRex2_A lot of confidence,9.124639422007121e-4,9.026277993670834e-4,3.728468609658213e-4
WCRex1_Very well,8.508186243704552e-4,8.470201471582555e-4,3.451419502878672e-4
PHQ4_4_Not at all,7.921168357049053e-4,7.490111642911535e-4,3.851872025682804e-4
PHQ4_2_Nearly every day,7.766939298213125e-4,7.215819381366359e-4,4.066736742731276e-4
PHQ4_1_Nearly every day,6.753843455332281e-4,6.769972461855534e-4,2.849322961217934e-4
employment_status_Unemployed,6.848844200625224e-4,6.371103832819864e-4,3.181308582479833e-4
PHQ4_2_Prefer not to say,7.160940824215412e-4,6.260622782853062e-4,4.1106667838928883e-4
PHQ4_1_Prefer not to say,5.680180659877828e-4,5.289282688686525e-4,3.0202008037459214e-4
employment_status_Part time employment,5.65092289632465e-4,5.280451982758009e-4,2.602510024404323e-4
vaccination_status_3,7.512709737594962e-4,5.248291525132218e-4,7.409824880710628e-4
employment_status_Full time student,5.307565537992007e-4,5.13256472395927e-4,2.6049221108387735e-4
employment_status_Other,5.301353626900505e-4,4.8524985747582373e-4,2.88989785025193e-4
WCRex1_Somewhat badly,4.472308791150973e-4,3.9153373742908314e-4,2.58043434133748e-4
WCRex2_Don't know,4.675424952968103e-4,3.8204889342951934e-4,2.768544785503745e-4
i11_health_Somewhat unwilling,5.183305344746257e-4,3.32865476356219e-4,5.844477999209192e-4
d1_comorbidities_Prefer_not_to_say,3.311934214880238e-4,2.970245045849439e-4,2.461319945395019e-4
PHQ4_4_Prefer not to say,2.151350213228938e-4,1.7963818795320864e-4,1.8723642388468527e-4
i11_health_Not sure,1.8230516643509084e-4,1.611108673089481e-4,1.2414316403575254e-4
