number,learning_rate,subsample,max_depth,colsample_bytree,value,std_err
0,0.05,0.5,3,0.6,0.8164182206351905,0.007479769269439856
1,0.1,0.5,3,0.6,0.8094937153005509,0.00871647032720589
2,0.2,0.5,3,0.6,0.7976344321098614,0.007765803061031165
3,0.3,0.5,3,0.6,0.7766907420452736,0.008393318243021692
4,0.5,0.5,3,0.6,0.755033157626254,0.008555211288463071
5,0.05,0.7,3,0.6,0.8155603328448083,0.007307505945071945
6,0.1,0.7,3,0.6,0.8093392631098804,0.007934706984399409
7,0.2,0.7,3,0.6,0.7940850681371001,0.007539045389083858
8,0.3,0.7,3,0.6,0.7795841059316658,0.006842883553639617
9,0.5,0.7,3,0.6,0.7606742050671654,0.010211479734065745
10,0.05,0.85,3,0.6,0.8163792870772976,0.007304919422133357
11,0.1,0.85,3,0.6,0.8101104444498425,0.007935584339805533
12,0.2,0.85,3,0.6,0.7972754606575385,0.007563329808726276
13,0.3,0.85,3,0.6,0.7768998496638354,0.0075110818746556415
14,0.5,0.85,3,0.6,0.751128803275547,0.013155879780598144
15,0.05,1,3,0.6,0.8166890686445184,0.008152107841713293
16,0.1,1,3,0.6,0.8096347397996777,0.009342322618124765
17,0.2,1,3,0.6,0.7958791156886719,0.0073739332772124605
18,0.3,1,3,0.6,0.7790461210840398,0.008676028994809263
19,0.5,1,3,0.6,0.7486794978718121,0.008885448330110112
20,0.05,0.5,5,0.6,0.809721378774261,0.007168565904492156
21,0.1,0.5,5,0.6,0.7919010102482301,0.0072364838661247355
22,0.2,0.5,5,0.6,0.7673935163817837,0.010286938954346356
23,0.3,0.5,5,0.6,0.7487303746528369,0.006729102550716721
24,0.5,0.5,5,0.6,0.7272567293652143,0.010417831783932754
25,0.05,0.7,5,0.6,0.8048901088520201,0.007158139517906588
26,0.1,0.7,5,0.6,0.791067346283296,0.009927447956015207
27,0.2,0.7,5,0.6,0.7596501917663285,0.007997211684431085
28,0.3,0.7,5,0.6,0.7384940202913337,0.009778182214655267
29,0.5,0.7,5,0.6,0.7296612982890827,0.007717583651855109
30,0.05,0.85,5,0.6,0.8065081794209493,0.008030118114951097
31,0.1,0.85,5,0.6,0.7865350617943714,0.007895956280437275
32,0.2,0.85,5,0.6,0.7603103753545856,0.007031294151385079
33,0.3,0.85,5,0.6,0.7426741483874625,0.011657971109245534
34,0.5,0.85,5,0.6,0.7373341106549745,0.012137293195295011
35,0.05,1,5,0.6,0.8078619471367303,0.007905054413850804
36,0.1,1,5,0.6,0.7840946632011077,0.008201561138578627
37,0.2,1,5,0.6,0.7541303309284945,0.008459081015927577
38,0.3,1,5,0.6,0.7413195034858018,0.00766173440189535
39,0.5,1,5,0.6,0.7296162244300316,0.00987804275829289
40,0.05,0.5,7,0.6,0.7948819577709223,0.007425625561742313
41,0.1,0.5,7,0.6,0.7771214403122242,0.005502556206192236
42,0.2,0.5,7,0.6,0.761373592116663,0.008599970354701007
43,0.3,0.5,7,0.6,0.7578861034863416,0.01013007977803972
44,0.5,0.5,7,0.6,0.7397822689694821,0.005228847425343857
45,0.05,0.7,7,0.6,0.7907162695038906,0.006136066367649865
46,0.1,0.7,7,0.6,0.7743789523971466,0.005491860125578015
47,0.2,0.7,7,0.6,0.7622273638809942,0.007051342759937606
48,0.3,0.7,7,0.6,0.7581119451124552,0.0072305708329780324
49,0.5,0.7,7,0.6,0.7483532522003871,0.008575259932008644
50,0.05,0.85,7,0.6,0.7865079365079365,0.007997534708364529
51,0.1,0.85,7,0.6,0.7646794357940422,0.008092953807469543
52,0.2,0.85,7,0.6,0.7604813591252972,0.0050972389679282484
